Sygnatura czasowa,Czy wyrażasz zgodę na udział w badaniu na warunkach opisanych powyżej?  ,Czy chcesz wziąć udział w losowaniu?,Podaj swój pseudonim.,Na pytania z jakich obszarów najczęściej szukasz odpowiedzi?,"(1/3) Podaj jedno z pytań, na które odpowiedzi najczęściej szukasz.","(2/3) Podaj jedno z pytań, na które odpowiedzi najczęściej szukasz.","(3/3) Podaj jedno z pytań, na które odpowiedzi najczęściej szukasz."
2025-10-30 19:42:42,Tak,Tak,Johnny Guitar,"Godziny otwarcia dziekanatu, Plan zajęć, Plan studiów, Plan sesji",Ile kosztuje warunek,Jakie są warunki wznowienia,Lista pytań na obronę
2025-10-30 22:04:14,Tak,Tak,Prince of Persia,"Plan zajęć, Harmonogram roku akademickiego, Punkty ECTS (np. ile trzeba ich mieć aby zdać na kolejny semestr), Dziekani (np. kto jest prodziekanem ds. ...), cena poprawiania przedmiotów","Ile, do kiedy i jak muszę zapłacić za ubezpieczenie?",Ile muszę zapłacić za poprawianie przedmiotów?,"Czy mogę mieć więcej/mniej ECTS niż jest ""przewidziane"" na dany semestr/rok?"
2025-10-30 22:49:03,Tak,Nie,,"Plan studiów, Harmonogram roku akademickiego, Plan sesji, Punkty ECTS (np. ile trzeba ich mieć aby zdać na kolejny semestr), Praktyki studenckie",W jakich godzinach i dniach otwarty jesf dziekanat?,Jaki jest plan sesji?,Jaki jest plan studiow?
2025-10-31 06:31:49,Tak,Tak,Kubaj.,"Godziny otwarcia dziekanatu, Plan zajęć, Harmonogram roku akademickiego, Plan sesji, Wydarzenia wydziałowe i politechniczne",Gdzie mogę znaleźć informację o godzinach otwarcia dziekanatu?,Gdzie mogę znaleźć harmonogram roku akademickiego?,Gdzie mogę znaleźć ogólne informacje dotyczące wydziału?
2025-10-31 09:42:01,Tak,Tak,Somos,"Plan zajęć, Plan studiów, Harmonogram roku akademickiego, Oferta przedmiotów obieralnych, Praktyki studenckie",Jakie będę miał przedmioty w tym semestrze?,Kiedy zaczynają się moje następne zajęcia?,W jakiej sali mam kolejne zajęcia?
2025-10-31 14:55:48,Tak,Tak,KacpiF,"Godziny otwarcia dziekanatu, Plan zajęć, Harmonogram roku akademickiego, Wydarzenia wydziałowe i politechniczne, Oferta przedmiotów obieralnych",Godziny otwarcia dziekanatu,Plan zajęć ,Harmonogram roku akademickiego 
2025-10-31 20:39:33,Tak,Tak,Dzban,"Plan zajęć, Plan studiów, Punkty ECTS (np. ile trzeba ich mieć aby zdać na kolejny semestr), Stypendia, Oferta przedmiotów obieralnych",Kiedy kolokwium ,O której mam zajęcia ,Na co zapisać się na wf
2025-11-01 17:36:37,Tak,Tak,aa,"Godziny otwarcia dziekanatu, Plan zajęć, Plan studiów, Harmonogram roku akademickiego, Plan sesji",Kiedy są zajęcia,Jakie ceny warunków,Kiedy w trakcie studiów ma być pewien przedmiot?
2025-11-02 00:28:58,Tak,Tak,pkb-pmj,"Plan studiów, Plan sesji, Oferta przedmiotów obieralnych, Obsługa drukarki wydziałowej, Dziekani (np. kto jest prodziekanem ds. ...)",do kogo i jakie podanie napisać żeby zapisać się na przedmiot spoza podstawowego kierunku studiów,katalog ECTS i efekty uczenia,jakie są dostępne przedmioty do wyboru i jak będą pasować do planu
2025-11-02 11:45:31,Tak,Tak,Baranek Schaun,"Harmonogram roku akademickiego, Plan sesji, Wydarzenia wydziałowe i politechniczne, Praktyki studenckie, Zmiana kierunku studiów",Może godziny konsultacji z konkretnymi prowadzącymi :),"Harmonogram/kalendarz wydarzeń na politechnice (koła naukowe, spotkania, wykłady)","Harmonogram, terminy sesji"
2025-11-02 20:24:57,Tak,Tak,gister312,"Harmonogram roku akademickiego, Plan sesji, Wydarzenia wydziałowe i politechniczne, Oferta przedmiotów obieralnych",Kiedy zaczyna się sesja?,Jakie są dostępne przedmioty obieralne dla mojego kierunku?,Za ile punktów ects muszę wybrać przedmioty obieralne?
2025-11-03 14:02:42,Tak,Tak,Ludwik Madej,"Plan zajęć, Plan studiów, Harmonogram roku akademickiego, Plan sesji, Stypendia",W jakie dni następuje zmiana planu zajęć (np. plan poniedziałkowy w czwartek)?,Kiedy są dni dodatkowo wolne od zajęć?,"Kiedy będę miał egzaminy - dzień, przedmiot i godzina?"
2025-11-04 19:51:37,Tak,Tak,szybciutka_kaczuszka,"Plan studiów, Harmonogram roku akademickiego, Plan sesji, Stypendia, Praktyki studenckie",kiedy są najbliższe dni wolne ,Jakie są wymagania i punktacja stypendiów,Jak dzialaja procesy zwiazane z jezykami i zajeciami wf
2025-11-04 19:55:45,Tak,Tak,Bogudasz,"Godziny otwarcia dziekanatu, Harmonogram roku akademickiego, Plan sesji",Kiedy pojawi się plan sesji.,O czas wolny ,Jakie są Godziny otwarcia dziekanatu 
2025-11-04 20:19:07,Tak,Nie,,"Plan zajęć, Plan studiów, Plan sesji, Punkty ECTS (np. ile trzeba ich mieć aby zdać na kolejny semestr), Praktyki studenckie",Jaki jest aktualny plan studiów IADu?,Jaki jest syllabus przedmiotu XYZ? ,Na którym semestrze jest przedmiot XYZ? 
2025-11-04 20:21:54,Tak,Tak,doman47,"Godziny otwarcia dziekanatu, Plan zajęć, Harmonogram roku akademickiego",Czy mam wolne danego dnia,Jak zainstalować oprogramowanie dostarczane przez nasz wydział ,Jakie progi punktowe były na dany kierunek studiów w poprzednich latach
2025-11-04 20:27:44,Tak,Tak,cinammonroll,"Plan zajęć, Plan studiów, Plan sesji, Praktyki studenckie",Do kiedy trzeba zrealizować praktyki studenckie,Jak można zrealizować praktyki studenckie ,Jaki jest terminarz sesji 
2025-11-04 20:37:38,Tak,Tak,fegon,"Plan zajęć, Harmonogram roku akademickiego, Plan sesji, Punkty ECTS (np. ile trzeba ich mieć aby zdać na kolejny semestr), Oferta przedmiotów obieralnych",Jaki jest mój dzisiejszy plan zajęć?,"Jak wygląda harmonogram roku akademickiego? Które dni są wolne, a w które mamy zmieniony plan?",Jak wygląda zaliczenie danego przedmiotu?
2025-11-04 20:56:25,Tak,Nie,,"Plan sesji, Obsługa drukarki wydziałowej, Wymiany międzynarodowe",Ile przedmiotów jest w danym roku w sesji?,Konkretne terminy egzaminów w sesji?,Jakie są dni wolne w danym semestrze akademickim?
2025-11-04 20:59:38,Tak,Tak,Fabufil,"Plan studiów, Harmonogram roku akademickiego, Plan sesji, Oferta przedmiotów obieralnych, Praktyki studenckie",Jaki jest harmonogram sesji?,Jaki jest regulamin praktyk na mini?,Jaki jest plan studiów IAD na mini?
2025-11-04 22:00:02,Tak,Tak,g,"Plan zajęć, Plan studiów, Punkty ECTS (np. ile trzeba ich mieć aby zdać na kolejny semestr), Stypendia, Oferta przedmiotów obieralnych",jakie są przedmioty obowiązkowe na semestrze X kierunku Y?,jakie są zasady oceniania przedmiotu X?,jakie są dostępne przedmioty obieralne dla kierunku X na semestrze Y?
2025-11-04 22:19:36,Tak,Tak,Mandarynka,"Plan studiów, Harmonogram roku akademickiego, Plan sesji, Punkty ECTS (np. ile trzeba ich mieć aby zdać na kolejny semestr)",Jaki jest plan studiów?,Jak wygląda kalendarz akademicki w tym semestrze?,Jakie są godziny otwarcia budynku i dziekanatu?
2025-11-05 16:10:09,Tak,Nie,,"Plan zajęć, Harmonogram roku akademickiego, Plan sesji, Oferta przedmiotów obieralnych, Praktyki studenckie",W jakich salach mam dzisiaj zajecia?,W jakie dni nie ma zajęć na wydziale/ jest zmiana dnia?,"Jakie dokumenty należy przygotować, aby zaliczyć praktyki?"
2025-11-06 08:59:12,Tak,Tak,Urielek,"Godziny otwarcia dziekanatu, Harmonogram roku akademickiego, Plan sesji, Punkty ECTS (np. ile trzeba ich mieć aby zdać na kolejny semestr), Oferta przedmiotów obieralnych",Ile jest podejść do egzaminu/ćwiczeń ,Czy przedmioty obowiązkowe też mogę traktować jako obierak ,Jaki jest plan budynku mini pw
2025-11-06 11:16:47,Tak,Tak,EXPRES1001,"Plan zajęć, Plan studiów, Harmonogram roku akademickiego, Plan sesji, Oferta przedmiotów obieralnych",Harmonogram roku akademickiego ,Jak działa ta głupia drukarka xd,Plan zajęć 
2025-11-06 12:54:30,Tak,Tak,Patonymous,"Godziny otwarcia dziekanatu, Plan zajęć, Plan studiów, Plan sesji, Oferta przedmiotów obieralnych",Jakie obieraki są dla mnie dostępne i które z nich należą do bloków obowiązkowych,Jakie przedmioty mam na danym roku studiów,Zmiany planu zajęć w najbliższym czasie
2025-11-07 00:29:09,Tak,Tak,tendi,"Plan zajęć, Plan studiów, Harmonogram roku akademickiego, Stypendia, Wymiany międzynarodowe",Kiedy mamy wolne?,Jaki stopień naukowy mają poszczególni pracownicy?,Jakie przedmioty są w danych semestrach?
2025-11-07 18:28:22,Tak,Tak,Zorro,"Plan studiów, Punkty ECTS (np. ile trzeba ich mieć aby zdać na kolejny semestr), Stypendia, Oferta przedmiotów obieralnych, Praktyki studenckie",Jaki tytuł naukowy ma dany wykładowca/ćwiczeniowiec,Harmonogram roku akademickiego,Jaka jest procedura zapisów na przedmioty obieralne i lektoraty
