pytanie|odpowiedz
Jakie funkcje wydziałowe pełni mgr Magdalena Bogucka i w którym pokoju się znajduje?|Mgr Magdalena Bogucka pełni następujące funkcje wydziałowe: Członek Rady Wydziału, Pełnomocnik Dziekana ds. Bezpieczeństwa i Higieny Pracy, Pełnomocnik Dziekana ds. POL-on, Kierownik Działu Administracji Wydziału oraz Kierownik Sekretariatu Wydziału. Jej pokój to nr 17 zlokalizowany w Gmachu MiNI.
Z kim i pod jakim adresem e-mail mogę się skontaktować w sprawie wyjazdów w ramach programu Erasmus+ na Wydziale MiNI?|W sprawach wyjazdów w ramach programu Erasmus+ należy kontaktować się z Pełnomocnikiem Dziekana ds. Studenckich Programów Międzynarodowych, dr inż. Magdaleną Jasionowską-Skop, pod adresem e-mail: erasmus.mini@pw.edu.pl.
Jakie konsekwencje ponosi student, u którego podczas sprawdzianu zostanie stwierdzona niesamodzielność pracy lub korzystanie z niedozwolonych urządzeń?|Zgodnie z procedurą przeprowadzania sprawdzianów, w przypadku stwierdzenia niesamodzielnej pracy lub korzystania z niedozwolonych materiałów i urządzeń, student otrzymuje ocenę niedostateczną i traci prawo do zaliczenia przedmiotu w jego bieżącej realizacji.
Ile wynosi wysokość stypendium rektora oraz stypendium dla tegorocznych maturzystów?|Wysokość stypendium rektora oraz stypendium dla tegorocznych maturzystów wynosi 635 zł.
Ile razy w ciągu całego toku studiów student może powtarzać rok akademicki?|Zgodnie z zasadami rejestracji na kolejny semestr lub rok studiów, powtarzać rok można tylko raz w ciągu całych studiów.
Czy obecność studenta na wszystkich typach zajęć jest obowiązkowa i kto rozstrzyga spory związane z usprawiedliwianiem nieobecności?|Zgodnie z Regulaminem studiów w PW obecność na zajęciach jest obowiązkowa z wyjątkiem wykładów. W sprawach spornych rozstrzygnięcia dotyczące usprawiedliwienia nieobecności studenta na zajęciach podejmuje dziekan.
W którym pokoju znajduje się gabinet Krzysztofa Baneckiego i jaki jest jego adres e-mail?|Gabinet Krzysztofa Baneckiego znajduje się w pokoju 422 w Gmachu MiNI na Kampusie Głównym PW, a jego adres e-mail to krzysztof.banecki@pw.edu.pl.
"Jakie są kryteria oceniania i ile punktów można maksymalnie uzyskać na zajęciach z przedmiotu ""Matematyka popularna""?"|Ocena z tego przedmiotu opiera się na dwóch elementach: przygotowanej prezentacji (oceniana jest jej poprawność merytoryczna oraz sposób przedstawienia), za którą można zdobyć maksymalnie 30 punktów, oraz na aktywności w czasie wystąpień kolegów, co pozwala na uzyskanie maksymalnie 20 punktów.
"Z jakich elementów składa się ocena z przedmiotu ""Wnioskowanie rozmyte"" i od ilu punktów można otrzymać ocenę 3.0?"|"Podstawą zaliczenia przedmiotu ""Wnioskowanie rozmyte"" jest wygłoszenie referatu (maksymalnie 10 punktów), jego pisemne opracowanie (maksymalnie 20 punktów) oraz aktywność na zajęciach (maksymalnie 10 punktów). Aby otrzymać ocenę 3.0, należy zdobyć od 22 do 24 punktów."
Gdzie znajduje się obsługa laboratorium Informatyki wydziału MiNI i w jakich godzinach jest dostępna dla studentów?|Obsługa laboratorium Informatyki znajduje się na trzecim piętrze w sali 323. Jest czynna od poniedziałku do piątku w godzinach 8:15–17:00, z wyjątkiem okresu wakacyjnego, kiedy to pracuje do godziny 16:00.
Ile razy w roku akademickim student może otrzymać zapomogę i w jakim czasie od zdarzenia powinien złożyć odpowiedni wniosek?|Student może otrzymać zapomogę nie więcej niż 2 razy w roku akademickim i nie może jej uzyskać dwukrotnie z tytułu tego samego zdarzenia. Wniosek należy złożyć niezwłocznie, jednak nie później niż 3 miesiące od daty zdarzenia uprawniającego do udzielenia tego świadczenia.
Jakie konkretne umiejętności matematyczne posiada absolwent po uzyskaniu efektu uczenia się o symbolu MAD1_U08?|Absolwent osiągający efekt MAD1_U08 potrafi rozwijać funkcje zespolone w szeregi Taylora i Laurenta, rozróżniać ich osobliwości, stosować wzory całkowe Cauchy’ego, a także obliczać wartość całek rzeczywistych i zespolonych przy wykorzystaniu twierdzenia o residuach.
"Jakie wsparcie finansowe przewidziano dla studentów biorących udział w projekcie ""Szkoła Orłów na PW""?"|"Uczestnicy projektu ""Szkoła Orłów na PW"" otrzymują wsparcie stypendialne w wysokości 1370,70 zł miesięcznie oraz jednorazowy dodatek na pomoce dydaktyczne w kwocie 200 zł brutto."
Jakie są wymogi edytorskie dotyczące numeracji stron w pracy dyplomowej na Wydziale MiNI?|Zgodnie z wytycznymi, numeracja stron musi być umieszczona u dołu po zewnętrznej stronie z odbiciem lustrzanym na stronach parzystych i nieparzystych. Jest to wymóg obligatoryjny przy pisaniu pracy dyplomowej.
Ile wynosi czas oczekiwania na wydanie duplikatu elektronicznej legitymacji studenckiej (ELS) na Wydziale MiNI?|Czas oczekiwania na wydanie duplikatu elektronicznej legitymacji studenckiej (ELS) wynosi około 7 do 10 dni roboczych.
"Ile punktów i za jakie aktywności można zdobyć podczas zaliczania przedmiotu ""Przetwarzanie danych w systemie SAS""?"|Podczas zaliczania przedmiotu można uzyskać łącznie 100 punktów, na co składa się: 20 punktów za zadania rozwiązywane na laboratoriach, 30 punktów za kolokwium, 45 punktów za projekt zespołowy oraz 5 punktów za aktywność na zajęciach.
Kto może ubiegać się o kartę parkingową uprawniającą do korzystania z miejsc w dyspozycji Wydziału MiNI i ile wynosi łączna liczba tych miejsc?|O kartę parkingową mogą ubiegać się pracownicy, doktoranci oraz studenci Wydziału MiNI. Łączna liczba miejsc parkingowych wynosi 57, z czego 50 znajduje się w garażu podziemnym, a pozostałe na terenie przyległym do gmachu.
"Kto prowadzi wykład z przedmiotu ""Matematyka dyskretna i elementy probabilistyki"" dla studentów drugiego semestru Inżynierii i analizy danych i o której godzinie się on rozpoczyna?"|Wykład z tego przedmiotu prowadzi Zbigniew Lonc, a zajęcia rozpoczynają się w każdy wtorek o godzinie 8:15.
W jaki sposób student powinien złożyć podanie o przesunięcie terminu złożenia pracy dyplomowej o 3 miesiące?|"Podanie o przesunięcie terminu złożenia pracy dyplomowej o 3 miesiące należy składać w formie elektronicznej przez system USOSweb, wybierając opcję ""Dla studentów"", a następnie ""Podania ePW""."
Jaką wiedzę programistyczną zdobywa absolwent osiągający efekt uczenia się o symbolu M1_W21?|Absolwent uzyskujący efekt o symbolu M1_W21 posiada wiedzę w zakresie podstaw programowania, w tym programowania deklaratywnego oraz obiektowego.
Czy student odbywający praktykę poza stałym miejscem zamieszkania i siedzibą uczelni może ubiegać się o wsparcie finansowe?|Tak, student odbywający praktykę na podstawie porozumienia poza swoim stałym miejscem zamieszkania oraz siedzibą uczelni może ubiegać się o dofinansowanie kosztów zakwaterowania i dojazdów. Szczegóły są ustalane indywidualnie w porozumieniu z Dziekanem.
Z kim należy się kontaktować na Wydziale MiNI w sprawach wyjazdów w ramach programu Erasmus+ i jaki jest adres e-mail?|W sprawach wyjazdów w ramach programu Erasmus+ należy kontaktować się z Pełnomocnikiem Dziekana ds. Studenckich Programów Międzynarodowych, dr inż. Magdaleną Jasionowską-Skop, pod adresem e-mail: erasmus.mini@pw.edu.pl.
Gdzie należy odłożyć torbę oraz wyłączone urządzenia elektroniczne na czas trwania sprawdzianu lub egzaminu?|Zgodnie z procedurą przeprowadzania sprawdzianów, wszelkie wyłączone urządzenia należy odłożyć do toreb, a same torby umieścić pod ścianą sali, z dala od studentów. W przypadku braku torby, wyłączone urządzenie student musi przekazać na biurko prowadzącego.
Ile minimalnie punktów ECTS należy uzyskać, aby zarejestrować się na trzeci semestr na studiach pierwszego stopnia?|Aby uzyskać rejestrację na trzeci semestr na studiach pierwszego stopnia, student musi zdobyć co najmniej 40 punktów ECTS z 60 możliwych do uzyskania na pierwszym roku studiów.
"Jakie przedmioty poprzedzające są wymagane przed przystąpieniem do przedmiotu ""Procesory graficzne w zastosowaniach obliczeniowych""?"|Zgodnie z sylabusem, przedmiotami poprzedzającymi są: Programowanie Równoległe i Rozproszone, Metody Numeryczne oraz Programowanie C, C++.
Gdzie znajduje się pokój Krzysztofa Baneckiego na Wydziale MiNI i pod jakim adresem e-mail można się z nim skontaktować?|Pokój Krzysztofa Baneckiego znajduje się w Kampusie Głównym PW, w Gmachu MiNI pod numerem 422. Kontakt mailowy jest możliwy pod adresem krzysztof.banecki@pw.edu.pl.
W jakiej wysokości wypłacane jest stypendium rektora w roku akademickim 2025/2026 i w jaki sposób należy złożyć wniosek o jego przyznanie?|"Wysokość stypendium rektora (oraz stypendium dla tegorocznych maturzystów) wynosi 635 zł. Wniosek o jego przyznanie należy złożyć w formie elektronicznej poprzez system USOSweb, wchodząc w zakładkę ""dla wszystkich"", a następnie wybierając ""wnioski""."
"Za co i w jakiej maksymalnej liczbie student może otrzymać punkty podczas zaliczania przedmiotu ""Matematyka popularna""?"|"Podczas zaliczania przedmiotu ""Matematyka popularna"" oceniana jest prezentacja (jej poprawność merytoryczna i sposób przedstawienia), za co można uzyskać maksymalnie 30 punktów. Ponadto do 20 punktów można zdobyć za aktywność uczestnika w czasie wystąpień innych kolegów."
Ile razy w trakcie roku akademickiego student może otrzymać zapomogę z tytułu trudnej sytuacji życiowej?|Student może otrzymać zapomogę nie więcej niż dwa razy w danym roku akademickim. Należy jednak pamiętać, że nie można otrzymać tego świadczenia dwukrotnie z tytułu tego samego zdarzenia.
"W jakiej formie odbywa się egzamin końcowy z przedmiotu ""Teoria gier"" i w jaki sposób obliczana jest ocena ostateczna?"|Egzamin końcowy ma formę ustną. Ocena ostateczna z przedmiotu obliczana jest jako średnia arytmetyczna ocen uzyskanych z ćwiczeń oraz z egzaminu końcowego.
"Ile punktów należy zdobyć, aby zaliczyć przedmiot ""Algorytmiczne zastosowania łańcuchów Markowa"" i z jakich aktywności się one składają?"|Aby zaliczyć ten przedmiot, należy zdobyć co najmniej 50 punktów. Na ocenę końcową składają się: kolokwium obejmujące treści z ćwiczeń (maksymalnie 40 punktów), projekt (maksymalnie 50 punktów) oraz aktywne uczestnictwo w zajęciach (maksymalnie 10 punktów).
Kto na Wydziale MiNI pełni funkcję Pełnomocnika Dziekana ds. Osób z Niepełnosprawnościami?|"Zgodnie z wykazem pełnomocników, funkcję Pełnomocnika Dziekana ds. Osób z Niepełnosprawnościami pełni mgr Ewelina Szczęsna
."
W jakich godzinach i w jakiej sali dostępna jest obsługa laboratorium Informatyki na Wydziale MiNI?|Obsługa laboratorium Informatyki znajduje się na trzecim piętrze w sali 323 i jest dostępna od poniedziałku do piątku w godzinach 8:15-17:00, natomiast w okresie wakacyjnym pracuje do godziny 16:00.
Ile dni przed egzaminem dyplomowym promotor i recenzent muszą zamieścić swoje recenzje pracy w systemie APD?|"Zgodnie z regulaminem, promotor oraz recenzent zamieszczają recenzje pracy dyplomowej w systemie APD co najmniej 3 dni przed wyznaczonym terminem egzaminu dyplomowego
."
"Z kim i w jakiej sali odbywają się zajęcia laboratoryjne z przedmiotu ""Podstawy systemu UNIX"" dla grupy 6 na pierwszym semestrze kierunku Informatyka i Systemy Informacyjne?"|"Zajęcia laboratoryjne dla grupy 6 z przedmiotu ""Podstawy systemu UNIX"" prowadzi Elena Konecka w sali 202 (LAB)."
"Jakie wsparcie finansowe przewidziano dla studentów uczestniczących w projekcie ""Szkoła Orłów na PW""?"|"Uczestnicy projektu ""Szkoła Orłów na PW"" otrzymują wsparcie stypendialne w wysokości 1370,70 zł miesięcznie oraz jednorazowy dodatek na pomoce dydaktyczne w kwocie 200 zł brutto."
"Jakie przedmioty poprzedzające są wymagane do podjęcia przedmiotu ""Programming Multilayered and Mobile Apps Based on React""?"|Wymaganymi przedmiotami poprzedzającymi są: Programowanie obiektowe, Programowanie w środowisku graficznym, Bazy danych oraz Projektowanie obiektowe.
W jakiej formie i za pośrednictwem jakiego systemu student powinien złożyć podanie o urlop zdrowotny lub o zmianę grupy zajęciowej?|"Podanie o urlop zdrowotny oraz podanie o zmianę grupy zajęciowej należy składać w formie elektronicznej za pośrednictwem systemu USOSweb. W tym celu należy wejść w zakładkę ""Dla studentów"", a następnie wybrać opcję ""Podania ePW""."
Czy student odbywający praktyki poza stałym miejscem zamieszkania i siedzibą uczelni może ubiegać się o dofinansowanie kosztów?|Tak, student odbywający praktykę na podstawie porozumienia poza stałym miejscem zamieszkania i siedzibą uczelni może ubiegać się o dofinansowanie, które obejmuje koszty zakwaterowania i dojazdów. Szczegóły takiego dofinansowania są ustalane indywidualnie w porozumieniu z Dziekanem.
Ile łącznie miejsc parkingowych znajduje się w dyspozycji Wydziału MiNI i ile z nich zlokalizowanych jest w garażu podziemnym?|Łączna liczba miejsc parkingowych będących w dyspozycji Wydziału MiNI wynosi 57, z czego dokładnie 50 miejsc znajduje się w garażu podziemnym gmachu Wydziału.
Czego dotyczy efekt uczenia się o symbolu MAD1_W03 na studiach pierwszego stopnia na kierunku Matematyka i Analiza Danych?|Zgodnie z wykazem efektów uczenia się, symbol MAD1_W03 oznacza, że absolwent zna podstawy rachunku całkowego funkcji jednej zmiennej oraz ich zastosowania, a także zna metody obliczeniowe rachunku całkowego.
Ile punktów ECTS student studiów pierwszego stopnia musi zdobyć, aby uzyskać rejestrację na trzeci rok studiów?|Aby uzyskać rejestrację na trzeci rok studiów pierwszego stopnia, student musi uzyskać co najmniej 105 punktów ECTS (nie wliczając praktyk) oraz posiadać zaliczenie wszystkich przedmiotów z pierwszego roku studiów.
Jakie są konsekwencje stwierdzenia niesamodzielności pracy lub korzystania z niedozwolonych materiałów i urządzeń podczas sprawdzianu?|W przypadku stwierdzenia niesamodzielności lub korzystania z niedozwolonych urządzeń, student otrzymuje ocenę niedostateczną i traci prawo do zaliczenia danego przedmiotu w jego bieżącej realizacji.
Kiedy najpóźniej student powinien złożyć wniosek o przeniesienie na inny program studiów i czyjej zgody do tego potrzebuje?|Wniosek o przeniesienie na inny program studiów powinien być złożony nie później niż 3 tygodnie przed rozpoczęciem semestru. Na przeniesienie musi wyrazić zgodę dziekan wydziału przyjmującego oraz dziekan wydziału macierzystego.
Który dokument związany z praktykami student musi dostarczyć koniecznie w formie papierowej?|Jedynym dokumentem, który należy dostarczyć w formie papierowej (a nie w postaci skanu), jest porozumienie. Wyjątek stanowią dokumenty, które zostały podpisane kwalifikowanym podpisem elektronicznym.
Jaki próg dochodowy netto na osobę w rodzinie uprawnia studenta do otrzymywania stypendium socjalnego od 1 października 2025 roku?|Od 1 października 2025 roku stypendium socjalne może otrzymać student, którego próg dochodowy na osobę w rodzinie nie przekracza 1908,90 zł netto.
"Na jakiej podstawie wystawiana jest ocena zaliczeniowa z przedmiotu ""Wnioskowanie rozmyte""?"|"Podstawą zaliczenia przedmiotu ""Wnioskowanie rozmyte"" jest wygłoszenie referatu (za co można otrzymać maksymalnie 10 punktów), jego pisemne opracowanie (maksymalnie 20 punktów) oraz aktywność studenta na zajęciach (maksymalnie 10 punktów)."
"Jakie warunki należy spełnić, aby zaliczyć przedmiot ""Zaawansowane programowanie obiektowe i funkcyjne""?"|Aby zaliczyć ten przedmiot, konieczne jest zdobycie przynajmniej 50% punktów za cztery zadania programistyczne oraz minimum 50% punktów za zadanie projektowe.
Ile razy w trakcie jednego roku akademickiego student może otrzymać zapomogę i czy możliwe jest przyznanie jej dwukrotnie z tego samego powodu?|Student może otrzymać zapomogę maksymalnie dwa razy w danym roku akademickim. Nie można jednak otrzymać tego świadczenia dwukrotnie z tytułu tego samego zdarzenia.
Gdzie i przez jaki czas przechowywane są protokoły Komisji Programowej dotyczące praktyk studenckich?|Protokoły Komisji Programowej danego kierunku studiów przechowywane są w Dziekanacie. Czas ich przechowywania jest określony w Instrukcji Kancelaryjnej Politechniki Warszawskiej.
"Jakie elementy wpływają na ocenę końcową z przedmiotu ""Matematyka popularna""?"|"Na ocenę końcową z przedmiotu ""Matematyka popularna"" składa się ocena za wygłoszoną prezentację, jej poprawność merytoryczną i sposób przedstawienia (za co można zdobyć maksymalnie 30 punktów) oraz aktywność uczestnika w czasie wystąpień kolegów (maksymalnie 20 punktów)."
"Z jakich elementów i z jakimi wagami wyliczana jest ocena końcowa z przedmiotu ""Agent Systems and Applications""?"|Ocena końcowa z tego przedmiotu składa się z trzech elementów: kolokwium (o wadze 30%), prac domowych (30%) oraz projektu (40%).
W jakim pokoju znajduje się gabinet Krzysztofa Baneckiego na Wydziale MiNI?|Gabinet Krzysztofa Baneckiego znajduje się w pokoju 422 w Gmachu MiNI na Kampusie Głównym PW.
Na ile dni przed terminem egzaminu dyplomowego promotor oraz recenzent powinni zamieścić swoje recenzje pracy w systemie APD?|Zgodnie z wytycznymi promotor oraz recenzent mają obowiązek zamieścić recenzje pracy dyplomowej w systemie APD na co najmniej 3 dni przed wyznaczonym terminem egzaminu dyplomowego.
Co należy zrobić w przypadku zapomnienia lub zgubienia danych logowania do konta wydziałowego?|Należy zgłosić się osobiście z dowodem tożsamości w godzinach pracy laboratorium, gdzie obsługa wygeneruje nowe, losowe hasło, które następnie najlepiej od razu zmienić na własne.
"Jakie wsparcie finansowe otrzymuje student biorący udział w projekcie ""Szkoła Orłów na PW""?"|Uczestnik projektu otrzymuje co miesiąc wsparcie stypendialne w wysokości 1370,70 zł, a dodatkowo przysługuje mu jednorazowy dodatek na pomoce dydaktyczne w kwocie 200 zł brutto.
W jakim terminie student może zgłosić do Dziekana odwołanie od decyzji Komisji Kwalifikacyjnej po pierwszej turze rekrutacji na wyjazdy z programu Erasmus+ na rok akademicki 2023/2024?|Zgodnie z harmonogramem rekrutacji w ramach programu Erasmus+ na rok akademicki 2023/2024, termin zgłaszania odwołań od decyzji Komisji Kwalifikacyjnej do Dziekana przypada na dni od 13 do 17 marca.
Gdzie i w jakiej formie należy złożyć podanie o zmianę grupy studenckiej lub zajęciowej?|"Podanie o zmianę grupy studenckiej lub zajęciowej należy składać w formie elektronicznej przez system USOSweb, wchodząc w zakładkę ""Dla studentów"", a następnie wybierając opcję ""Podania ePW""."
"W jakiej formie odbywa się egzamin końcowy z przedmiotu ""Teoria gier"" i jaki warunek należy spełnić, aby móc do niego przystąpić?"|"Egzamin końcowy z przedmiotu ""Teoria gier"" odbywa się w formie ustnej. Aby móc do niego przystąpić, student musi wcześniej uzyskać ocenę pozytywną z ćwiczeń, co wymaga wykonania co najmniej 50% zadanych prac domowych."
"Kiedy, gdzie i z kim odbywają się zajęcia z przedmiotu ""Projekt interdyscyplinarny"" dla grupy 4 na 6 semestrze studiów pierwszego stopnia na kierunku Inżynieria i analiza danych?"|Zajęcia projektowe dla grupy 4 odbywają się w każdy poniedziałek w godzinach od 9:45 do 11:15 w sali 218 (LAB) w Gmachu MiNI. Prowadzi je Stanisław Kaźmierczak.
Jakie formy sprawdzania wiedzy są stosowane do weryfikacji i oceny efektów uczenia się osiągniętych przez studenta w trakcie całego cyklu kształcenia?|Osiągnięte efekty uczenia się są weryfikowane i oceniane za pomocą egzaminów pisemnych i ustnych, kolokwiów pisemnych, sprawozdań (raportów) pisemnych, projektów, prezentacji, prac domowych oraz poprzez ocenę aktywności studenta podczas zajęć.
Jakie dodatkowe wymaganie, oprócz odpowiedniej liczby punktów ECTS, musi spełnić student kierunku Inżynieria i Analiza Danych, aby uzyskać bezwarunkową rejestrację na 7 semestr?|Student musi mieć zaliczone praktyki studenckie, które zostały formalnie potwierdzone przez Pełnomocnika Dziekana ds. Praktyk Studenckich.
Jaki dokument tożsamości powinien znajdować się na stole studenta podczas sprawdzianu lub egzaminu na Wydziale MiNI?|Zgodnie z procedurą przeprowadzania sprawdzianów, na stole studenta w trakcie zaliczeń powinna leżeć legitymacja studencka lub dowód osobisty.
Który dokument dotyczący odbywania praktyk studenckich na Wydziale MiNI należy obowiązkowo dostarczyć w formie papierowej?|Jedynym dokumentem, który trzeba koniecznie dostarczyć w formie papierowej (nie może to być skan), jest porozumienie. Wyjątkiem od tej zasady są jedynie dokumenty opatrzone kwalifikowanym podpisem elektronicznym.
"Z jakich części składa się ocena projektu na przedmiocie ""Tworzenie aplikacji webowych z wykorzystaniem .NET Framework""?"|Ocena projektu na tym przedmiocie jest podzielona na cztery części, z których każda pozwala na zdobycie 25 punktów: warstwa widoku wraz z testami interfejsu użytkownika, warstwa kontrolera wraz z testami jednostkowymi i integracyjnymi, warstwa modelu wraz z implementacją bazy danych oraz dokumentacja w VSTS z realizacji projektu zgodnie z metodyką SCRUM, definicją wdrożenia i prezentacją projektu.
"Z jakich elementów i w jakich proporcjach wyliczana jest punktacja z przedmiotu ""Informatyka obrazów""?"|"Do zdobycia z przedmiotu ""Informatyka obrazów"" jest łącznie 100 punktów. Punktacja ta składa się z dwóch elementów: projektu, który jest oceniany na maksymalnie 50 punktów, oraz kolokwium z treści wykładowych, za które również można uzyskać do 50 punktów."
Kiedy wypłacane są stypendia studenckie na Politechnice Warszawskiej?|Stypendia są wypłacane po 5. dniu każdego miesiąca. Wyjątkiem od tej reguły jest początek semestru, kiedy zgodnie z terminarzem Akcji Stypendialnej wypłaty realizowane są w późniejszym terminie.
"W jaki sposób wystawiana jest ocena sumatywna z przedmiotu ""Systemy wspomagania decyzji"" i ile punktów jest wymaganych do jego zaliczenia?"|Ocena sumatywna opiera się na punktowej ocenie wartości merytorycznej każdego z wykonanych ćwiczeń oraz każdej z dwóch części prezentacji projektowej. Aby zaliczyć przedmiot, konieczne jest uzyskanie minimum 51 punktów na 100 możliwych do zdobycia.
Jaka jest wysokość stypendium rektora oraz stypendium dla tegorocznych maturzystów na Wydziale MiNI?|Wysokość stypendium rektora oraz stypendium dla tegorocznych maturzystów wynosi 635 zł.
"Z jakich elementów składa się ocena końcowa z przedmiotu ""Przetwarzanie danych w systemie SAS"" i ile maksymalnie punktów można uzyskać za projekt zespołowy?"|Ocena końcowa z tego przedmiotu składa się z kolokwium, 10 zadań rozwiązywanych w trakcie laboratoriów, projektu zespołowego oraz aktywności na zajęciach. Za sam projekt zespołowy student może zdobyć maksymalnie 45 punktów.
W jakie dni i w jakich godzinach studenci mogą załatwiać sprawy w dziekanacie wydziału?|Dziekanat jest otwarty dla studentów w poniedziałki, wtorki, czwartki oraz piątki w godzinach od 11:00 do 14:00. W środy dziekanat jest nieczynny.
Kto na Wydziale MiNI przechowuje wypełnione przez pracodawców ankiety oraz oryginalne sprawozdania dotyczące praktyk studenckich?|Wypełnione przez pracodawców ankiety oraz oryginalne sprawozdania przechowuje Pełnomocnik ds. Praktyk przez okres ustalony w Instrukcji Kancelaryjnej Politechniki Warszawskiej.
Na jaki okres przyznawane są studentom serwery wirtualne na Wydziale MiNI i czy można ten czas przedłużyć?|Serwery wirtualne przyznawane są na jeden semestr (od daty uruchomienia do dnia poprzedzającego rozpoczęcie kolejnego semestru). Istnieje możliwość przedłużenia czasu ich działania na kolejne semestry, pod warunkiem, że wystarczy na to zasobów sprzętowych dla wszystkich chętnych.
W jakiej formie należy złożyć podanie o przesunięcie terminu złożenia pracy dyplomowej o 3 miesiące?|"Podanie o przesunięcie terminu złożenia pracy dyplomowej o 3 miesiące należy złożyć w formie elektronicznej za pośrednictwem systemu USOSweb, przechodząc do zakładki ""Dla studentów"", a następnie ""Podania ePW""."
"Jakie wsparcie finansowe otrzymują studenci uczestniczący w projekcie ""Szkoła Orłów na PW""?"|"Uczestnicy projektu otrzymują wsparcie stypendialne w wysokości 1370,70 zł miesięcznie oraz jednorazowy dodatek na pomoce dydaktyczne w kwocie 200 zł brutto
."
"Ile punktów ECTS może uzyskać student za zaliczenie przedmiotu ""Siła nauki - granice poznania""?"|"Za zaliczenie przedmiotu ""Siła nauki - granice poznania"" można uzyskać 3 punkty ECTS."
Ile punktów ECTS musi zdobyć student studiów stacjonarnych pierwszego stopnia, aby uzyskać rejestrację na drugi semestr?|Aby uzyskać rejestrację na semestr 2, student musi zdobyć co najmniej 16 punktów ECTS (nie wliczając w to punktów za praktyki) do końca zimowej lub jesiennej sesji egzaminacyjnej.
Jaki dokument tożsamości powinien leżeć na stole studenta podczas trwania sprawdzianu lub egzaminu na Wydziale MiNI?|Podczas sprawdzianu lub egzaminu na stole studenta powinna znajdować się legitymacja studencka lub dowód osobisty.
Czy obecność studenta na wykładach odbywających się na Politechnice Warszawskiej jest obowiązkowa?|Zgodnie z regulaminem studiów, obecność studenta na zajęciach jest obowiązkowa z wyjątkiem wykładów. Wszelkie sprawy sporne dotyczące usprawiedliwienia nieobecności na pozostałych zajęciach rozstrzyga dziekan.
W jakich dniach i w jakich godzinach będą przyjmowane dokumenty od kandydatów zakwalifikowanych na studia pierwszego stopnia w lipcu 2025 roku?|Dokumenty od kandydatów zakwalifikowanych na studia I stopnia będą przyjmowane w dniach 21-24 lipca 2025 r. (od poniedziałku do czwartku) w godzinach od 9:00 do 15:00 na stanowisku rekrutacyjnym zlokalizowanym na parterze budynku Wydziału.
"Kto prowadzi laboratoria z przedmiotu ""Składowanie danych w systemach Big Data"" dla grupy 5 na 7 semestrze kierunku Inżynieria i analiza danych i w jakiej sali się one odbywają?"|Laboratoria z tego przedmiotu dla grupy 5 prowadzi Elena Konecka, a zajęcia odbywają się w sali 304 (LAB).
"Jakie zadania muszą wykonać studenci w ramach projektu z przedmiotu ""Procesory graficzne w zastosowaniach obliczeniowych"" i na jakim sprzęcie jest on przeprowadzany?"|W ramach projektu studenci muszą wykonać dwa zadania programistyczne działające na procesorze GPU w technologii CUDA. Projekt przeprowadzany jest na dedykowanym sprzęcie udostępnionym na Wydziale.
Czy parkowanie na miejscach będących w dyspozycji Wydziału MiNI jest płatne i ile wynosi łączna liczba takich miejsc?|Parkowanie na wyznaczonych miejscach Wydziału MiNI jest bezpłatne, jednak posiadacz karty parkingowej jest zobowiązany do wniesienia opłaty za parkowanie na Terenie Centralnym Politechniki Warszawskiej. Wydział dysponuje łącznie 57 miejscami, z czego 50 znajduje się w garażu podziemnym.
Jaki próg dochodowy na osobę w rodzinie uprawnia studenta do otrzymania stypendium socjalnego od 1 października 2025 roku?|Stypendium socjalne może otrzymać student, którego dochód na osobę w rodzinie nie przekracza kwoty 1908,90 zł netto.
W jakich godzinach oraz w której sali dostępna jest dla studentów obsługa Laboratorium Informatyki na Wydziale MiNI?|Obsługa Laboratorium Informatyki znajduje się na trzecim piętrze w sali 323 i jest dostępna od poniedziałku do piątku w godzinach od 8:15 do 17:00, natomiast w okresie wakacyjnym pracuje do godziny 16:00.
Na jakim poziomie znajomości języka obcego absolwent powinien potrafić przedstawić wyniki badań w formie referatu (zgodnie z efektem M2_U09)?|Zgodnie z efektem uczenia się M2_U09, absolwent powinien potrafić w przystępny sposób przedstawić wyniki badań w języku obcym zgodnie z wymaganiami określonymi dla poziomu B2+ Europejskiego Systemu Opisu Kształcenia Językowego.
"Ile godzin w tygodniu trwają wykłady, a ile ćwiczenia z przedmiotu ""Algebra liniowa z geometrią 1"" na pierwszym semestrze studiów I stopnia na kierunku Matematyka i Analiza Danych?"|"Zgodnie z planem studiów, przedmiot ""Algebra liniowa z geometrią 1"" obejmuje 3 godziny wykładów oraz 3 godziny ćwiczeń w tygodniu."
Na ile dni przed egzaminem dyplomowym promotor i recenzent mają obowiązek zamieścić recenzję w systemie APD?|Zgodnie z regulaminem studiów, promotor oraz recenzent powinni zamieścić swoje recenzje pracy dyplomowej w systemie APD na co najmniej 3 dni przed wyznaczonym terminem egzaminu dyplomowego.
Ile czasu zazwyczaj trzeba czekać na wydanie duplikatu elektronicznej legitymacji studenckiej (ELS)?|Czas oczekiwania na wydanie duplikatu elektronicznej legitymacji studenckiej wynosi około od 7 do 10 dni roboczych.
W którym pokoju Gmachu MiNI znajduje się gabinet Krzysztofa Baneckiego i na jaki adres e-mail można się z nim kontaktować?|Gabinet Krzysztofa Baneckiego znajduje się w pokoju 422 w Gmachu MiNI na Kampusie Głównym PW. Kontaktowy adres e-mail to krzysztof.banecki@pw.edu.pl.
