pytanie|odpowiedz|zrodla|pliki|liczba_plikow
Moje koło naukowe weźmie zaliczkę z Uczelni na organizację projektu. Ile maksymalnie mamy czasu na jej rozliczenie? Co się jednak stanie, jeśli ze względu na natłok prac w kole, po prostu nie przystąpię w wymaganym terminie do egzaminu dyplomowego kończącego moje studia?|Zaliczkę projektową otrzymacie na rachunek nie wcześniej niż na 14 dni przed zaplanowaną datą projektu i musicie ją formalnie rozliczyć w Biurze Spraw Studenckich w ciągu 14 dni po jego zakończeniu. Jeśli nie złożysz w terminie pracy dyplomowej lub nie przystąpisz do egzaminu dyplomowego, Rektor wyda decyzję administracyjną o skreśleniu Cię z oficjalnej listy studentów Uczelni.|Regulamin dysponowania środkami na działalność studencką; Regulamin studiów w Politechnice Warszawskiej|c82085781d743edb519bd365df87aded.pdf; regulamin_studiow.pdf|wiele plików
Do kiedy najpóźniej muszę złożyć wniosek o indywidualną organizację studiów (IOS)?|Uzasadniony wniosek o indywidualną organizację studiów powinieneś złożyć do dziekana co najmniej 2 tygodnie przed początkiem semestru.|Regulamin studiów w Politechnice Warszawskiej|regulamin_studiow.pdf|jeden plik
Ile mam czasu na złożenie wniosku o stypendium socjalne po rozpoczęciu roku akademickiego?|Wniosek o stypendium socjalne należy złożyć w terminie 2 tygodni od rozpoczęcia roku akademickiego (lub od początku semestru w przypadku rozpoczynania nauki w semestrze letnim).|Regulamin świadczeń dla studentów Politechniki Warszawskiej na rok akademicki 2025/2026|regulamin_swiadczen_2025_2026.pdf|jeden plik
Jaka jest maksymalna kwota zaliczki, o którą moje koło naukowe może wystąpić na organizację projektu?|Standardowo zaliczka na projekt studencki nie powinna przekraczać kwoty 5000 zł. Wyższa kwota jest możliwa tylko w uzasadnionych przypadkach i wymaga zgody dysponenta środków.|Regulamin dysponowania środkami na działalność studencką|c82085781d743edb519bd365df87aded.pdf|jeden plik
W jakich godzinach w akademiku obowiązuje cisza nocna?|Zgodnie z przepisami porządkowymi, cisza nocna na terenie domu studenckiego obowiązuje od godziny 23:00 do 7:00 rano.|Regulamin Domu Studenckiego Politechniki Warszawskiej|7fe181576ef6f818438bc0b3df98e13f.pdf|jeden plik
Nie mówię po polsku. W jakim języku odbędzie się moja rozmowa kwalifikacyjna do Szkoły Doktorskiej?|Dla kandydatów nieposługujących się językiem polskim rozmowa kwalifikacyjna odbywa się w całości w języku angielskim.|Regulamin rekrutacji do Szkoły Doktorskiej na rok akademicki 2026/2027|84cf2faf2873685ac94833c869fe866f.pdf|jeden plik
Ile maksymalnie czasu ma uczelnia na przeprowadzenie wewnętrznego postępowania wyjaśniającego w sprawie zgłoszenia od sygnalisty?|Wyznaczony zespół przeprowadza rzetelne postępowanie wyjaśniające niezwłocznie, jednak w terminie nie dłuższym niż 90 dni.|Procedura przyjmowania zgłoszeń wewnętrznych i ochrony sygnalistów|62f1b26a2cee774b5699342e29970bbf.pdf|jeden plik
Czy publikacja artykułu w lokalnym czasopiśmie studenckiego koła naukowego daje punkty do stypendium Rektora?|Tak, za publikację artykułu lub referatu w czasopiśmie uczelnianym studenckiego ruchu naukowego można otrzymać 2 punkty, pod warunkiem że tekst ma jednego lub dwóch autorów ,. Jeśli publikacja ma więcej niż dwóch autorów, za takie osiągnięcie przysługuje 1 punkt.|Regulamin świadczeń dla studentów Politechniki Warszawskiej na rok akademicki 2025/2026|regulamin_swiadczen_2025_2026.pdf|jeden plik
Posiadam orzeczenie o niepełnosprawności. Czy rozmowa kwalifikacyjna do Szkoły Doktorskiej może zostać dostosowana do moich potrzeb?|Tak, w szczególnych przypadkach, na wniosek kandydata posiadającego orzeczenie o niepełnosprawności, zespół kwalifikacyjny może podjąć decyzję o dostosowaniu sposobu przeprowadzenia postępowania rekrutacyjnego, w tym samej rozmowy, do jego potrzeb ,. Kandydat musi jednak wskazać w swoim wniosku, jaki konkretnie element postępowania miałby zostać w ten sposób zmodyfikowany.|Regulamin rekrutacji do Szkoły Doktorskiej Politechniki Warszawskiej|84cf2faf2873685ac94833c869fe866f.pdf|jeden plik
Chcemy zaprosić prelegenta na wydarzenie naszego koła naukowego. Czy z uczelnianego dofinansowania możemy sfinansować dla niego umowę zlecenie?|Tak, ze środków na działalność studencką mogą być finansowane umowy zlecenia lub umowy o dzieło. Tego rodzaju wydatek musi być jednak wyraźnie opisany we wniosku o dofinansowanie, ze wskazaniem konkretnej osoby, z którą umowa ma być zawarta, a także tematu i terminu wykonania danego zadania.|Regulamin dysponowania środkami na działalność studencką|c82085781d743edb519bd365df87aded.pdf|jeden plik
Zależy mi na rozwijaniu zainteresowań naukowych. Czy od razu na pierwszym semestrze studiów mogę ubiegać się o indywidualny plan zajęć?|Nie od razu, ponieważ warunkiem przyznania indywidualnego planu studiów jest wcześniejsze uzyskanie rejestracji pełnej na drugi rok studiów (w przypadku studiów pierwszego stopnia lub jednolitych magisterskich) albo na drugi semestr (na studiach drugiego stopnia).|Regulamin studiów w Politechnice Warszawskiej|regulamin_studiow.pdf|jeden plik
Co się stanie, jeśli mój gość przyjdzie do akademika pod wpływem alkoholu?|Goście, których zachowanie wskazuje, że mogą znajdować się pod wpływem środków odurzających lub alkoholu, w ogóle nie mają prawa wstępu na teren domu studenckiego.|Regulamin Domu Studenckiego Politechniki Warszawskiej|7fe181576ef6f818438bc0b3df98e13f.pdf|jeden plik
Jaka jest minimalna ocena punktowa z rekrutacji, aby dostać się do Szkoły Doktorskiej?|Głównym warunkiem przyjęcia do Szkoły Doktorskiej jest uzyskanie w postępowaniu rekrutacyjnym oceny wynoszącej minimum 6,0 (obliczanej w skali od 0 do 10) oraz znalezienie się w granicach limitu przyjęć wyznaczonego dla danej dyscypliny.|Regulamin rekrutacji do Szkoły Doktorskiej|84cf2faf2873685ac94833c869fe866f.pdf|jeden plik
Studiuję na polskojęzycznym kierunku. Czy mogę wybrać jako obieralne przedmioty wykładane w języku obcym?|Tak, w programie studiów prowadzonym w języku polskim wprost dopuszcza się możliwość wyboru przedmiotów obieralnych, które są realizowane w języku obcym.|Regulamin studiów w Politechnice Warszawskiej|regulamin_studiow.pdf|jeden plik
Do kiedy muszę złożyć wniosek o ewentualną korektę punktów do stypendium Rektora w semestrze zimowym?|W semestrze zimowym wniosek o korektę liczby przyznanych punktów należy złożyć w systemie USOSweb w terminie od 5 do 14 listopada 2025 roku.|Regulamin świadczeń dla studentów Politechniki Warszawskiej na rok akademicki 2025/2026|regulamin_swiadczen_2025_2026.pdf|jeden plik
"W jakim celu studenckie koło naukowe ""Smart City"" stworzyło aplikację ""Gdzie To Metro""?"|"Aplikacja ""Gdzie To Metro"", opracowana i rozwijana przez Międzywydziałowe Koło Naukowe „Smart City”, służy użytkownikom do pomocy w znalezieniu optymalnej trasy w metrze."|Sprawozdanie Rektora z działalności Politechniki Warszawskiej za rok 2024|ee0f54fc508ca6edb94560f70b4dcd8b.pdf|jeden plik
W jakim czasie od zgłoszenia naruszenia jako sygnalista otrzymam potwierdzenie jego przyjęcia?|Zgłaszający otrzymuje potwierdzenie przyjęcia zgłoszenia w terminie 7 dni od dnia jego wpływu, chyba że nie podał adresu kontaktowego, na który należy to potwierdzenie przekazać.|Procedura przyjmowania zgłoszeń wewnętrznych i ochrony sygnalistów|62f1b26a2cee774b5699342e29970bbf.pdf|jeden plik
W jaki sposób dokładnie obliczana jest moja średnia ocen ze studiów?|Średnia ocen jest obliczana jako średnia ważona na podstawie wszystkich uzyskanych ocen numerycznych, przy czym wagami dla tych ocen są liczby punktów ECTS przypisane do poszczególnych przedmiotów.|Regulamin studiów w Politechnice Warszawskiej|regulamin_studiow.pdf|jeden plik
Jestem studentem z zagranicy. Czy jako cudzoziemiec mogę ubiegać się na uczelni o stypendium socjalne?|Tak, cudzoziemcy odbywający studia w Polsce są w pełni uprawnieni do ubiegania się o uczelniane świadczenia pomocy materialnej, w tym właśnie o stypendium socjalne, stypendium dla osób z niepełnosprawnościami czy stypendium Rektora.|Regulamin świadczeń dla studentów Politechniki Warszawskiej na rok akademicki 2025/2026|regulamin_swiadczen_2025_2026.pdf|jeden plik
Jako student zostałem zatrudniony dodatkowo do pomocy przy uczelnianym projekcie badawczym. Czy liczba moich godzin pracy w projekcie jest jakoś limitowana?|Tak, łączna miesięczna liczba godzin pracy w projektach (gdy dodatek przyznawany jest w stawce godzinowej) nie może standardowo przekraczać 50% obowiązującej Cię normy czasu pracy w danym miesiącu.|Regulamin wynagradzania pracowników Politechniki Warszawskiej|b316729d09938e94c7eb5528b0e0744d.pdf|jeden plik
Na jakim poziomie powinienem znać język obcy kończąc studia magisterskie na kierunku Matematyka?|Zgodnie z zakładanymi dla tego kierunku efektami uczenia się, absolwent studiów drugiego stopnia powinien potrafi przedstawić wyniki swoich badań w języku obcym na poziomie co najmniej B2+ Europejskiego Systemu Opisu Kształcenia Językowego.|Efekty uczenia się dla studiów drugiego stopnia na kierunku Matematyka|df978333880183b4bc4906362e74a2f8.pdf|jeden plik
Ile punktów ECTS daje kurs ATHENS?|Po zakończeniu i zaliczeniu intensywnego, tygodniowego kursu międzynarodowego w ramach programu ATHENS możesz uzyskać od 2 do 3 punktów ECTS, które są następnie uznawane przez Twoją macierzystą uczelnię.|Sprawozdanie Rektora z działalności Politechniki Warszawskiej za rok 2024; W jaki sposób na PW weryfikuje się efekty uczenia się studentów?|ee0f54fc508ca6edb94560f70b4dcd8b.pdf|jeden plik
"Jako zarejestrowana organizacja studencka planujemy projekt. Na ile dni przed jego rozpoczęciem musimy najpóźniej złożyć wniosek o dofinansowanie z puli uczelnianej? Dodatkowo interesują mnie oficjalne sprawozdania finansowe – na jaki adres e-mail mogę wysłać wniosek o udostępnienie informacji publicznej, jeśli nie potrafię ich znaleźć w BIP? Zauważyłem też w spisie jednostek ""Ośrodek Kształcenia na Odległość"" – czy posiada on status ogólnouczelnianej jednostki organizacyjnej?"|Odpowiedni wniosek o dofinansowanie ze środków na działalność studencką musicie złożyć w Biurze Spraw Studenckich nie później niż na 5 dni przed terminem rozpoczęcia projektu. Pisemny wniosek o udostępnienie informacji publicznej drogą elektroniczną powinieneś wysłać na specjalny adres e-mail Biura Rektora: informacjapubliczna@pw.edu.pl. Jeśli chodzi o Ośrodek Kształcenia na Odległość – tak, zgodnie z procedurami posiada on oficjalny status ogólnouczelnianej jednostki organizacyjnej Politechniki Warszawskiej.|Regulamin dysponowania środkami na działalność studencką; Regulamin umieszczania informacji w Biuletynie Informacji Publicznej (BIP) PW; Regulamin organizacyjny Politechniki Warszawskiej|c82085781d743edb519bd365df87aded.pdf; 390bf595ba50c2b63d98e7056c54b61f.pdf; d306a4288f0943c31b5e9cd8fcd33f73.pdf|wiele plików
Studiuję kierunek Biogospodarka i zastanawiam się, jaka jest jego wiodąca dyscyplina naukowa? Niestety, w obecnym semestrze uzyskałem ocenę niedostateczną (2,0) z jednego egzaminu. Czy powtarzanie tego przedmiotu wiąże się z opłatami i czy pomimo tego pojedynczego potknięcia, przy zachowaniu bardzo wysokiej średniej z innych przedmiotów, wciąż mam szansę na stypendium Rektora w nowym roku?|Kierunek Biogospodarka jest przyporządkowany dyscyplinie wiodącej „inżynieria środowiska, górnictwo i energetyka”, której udział w programie tego kierunku wynosi 55%. Uzyskanie oceny 2,0 jest równoznaczne z niezaliczeniem przedmiotu, a jego ponowna realizacja (powtarzanie) wymusza wniesienie stosownej opłaty usługowej. Niestety z tego powodu tracisz szansę na stypendium Rektora – przepisy stypendialne wykluczają taką możliwość, ponieważ punkty za wyniki w nauce można otrzymać wyłącznie pod warunkiem, że od początku studiów zaliczyło się wszystkie przedmioty warunkujące pełną rejestrację na kolejny etap.|Wykaz kierunków studiów i dyscyplin; Regulamin studiów w Politechnice Warszawskiej; Regulamin świadczeń dla studentów Politechniki Warszawskiej|a7f6351019e1d70a951c7a1ac1bb0e28.pdf; regulamin_studiow.pdf; regulamin_swiadczen_2025_2026.pdf|wiele plików
Jestem pracownicą administracji i spodziewam się dziecka. Czy przełożony może zlecić mi pracę w godzinach nocnych? Ponadto ze względu na pewne nadużycia, rozważam wykonanie telefonu na infolinię dla sygnalistów – w jakich dniach i godzinach linia jest czynna? Towarzyszy mi przez to wiele stresu, więc chciałabym skorzystać z darmowego psychologa na uczelni – jak dużym zainteresowaniem cieszy się to wsparcie i ile takich konsultacji ogółem odbyło się w raporcie za 2024 rok?|Zgodnie z przepisami prawa pracy obowiązującymi na Uczelni, pracownic w ciąży bezwzględnie nie wolno zatrudniać w porze nocnej ani przydzielać im pracy w godzinach nadliczbowych. Jeśli zamierzasz dokonać zgłoszenia wewnętrznego jako sygnalistka, przeznaczona do tego celu infolinia jest czynna w dni robocze w godzinach od 7:00 do 18:00. Z kolei darmowa pomoc psychologiczna spotyka się z bardzo dużym i rosnącym zainteresowaniem – z oficjalnego raportu uczelni wynika, że tylko w 2024 roku zrealizowano łącznie aż 1428 tego typu indywidualnych konsultacji psychologicznych dla społeczności PW.|Regulamin pracy Politechniki Warszawskiej; Procedura przyjmowania zgłoszeń wewnętrznych i ochrony sygnalistów; Sprawozdanie Rektora z działalności PW za rok 2024|a3de1af7fada945beb87a825dbb0c262.pdf; 62f1b26a2cee774b5699342e29970bbf.pdf; ee0f54fc508ca6edb94560f70b4dcd8b.pdf|wiele plików
"W tym roku bronię tytułu magistra z Matematyki. Na jakim poziomie językowym (według skali europejskiej) powinienem umieć zaprezentować w języku obcym wyniki swoich badań naukowych? W wakacje będę aplikować do Szkoły Doktorskiej – ile maksymalnie minut podczas rozmowy kwalifikacyjnej będę mógł przeznaczyć na wygłoszenie własnej prezentacji multimedialnej, oraz na jakiej pozycji uplasowała się uczelnia w mojej dyscyplinie (Matematyka) w światowym rankingu ""QS by Subject""?"|"Jako absolwent studiów drugiego stopnia na kierunku Matematyka powinieneś posługiwać się językiem obcym w stopniu pozwalającym na merytoryczną prezentację problemu i wyników swoich badań na poziomie co najmniej B2+. W trakcie rekrutacji do Szkoły Doktorskiej czeka Cię rozmowa kwalifikacyjna (trwająca od 20 do 30 minut), z której na przedstawienie przygotowanej przez Ciebie prezentacji możesz poświęcić nie więcej niż 10 minut. O pozycję Twojej dyscypliny w świecie nauki nie musisz się martwić – w opublikowanym rankingu ""QS by Subject"" na 2024 rok, obszar matematyka na PW został sklasyfikowany wysoko, znajdując się w przedziale miejsc 301–350 na świecie."|Efekty uczenia się dla kierunku Matematyka; Regulamin rekrutacji do Szkoły Doktorskiej; Sprawozdanie Rektora z działalności PW za rok 2024|df978333880183b4bc4906362e74a2f8.pdf; 84cf2faf2873685ac94833c869fe866f.pdf; ee0f54fc508ca6edb94560f70b4dcd8b.pdf|wiele plików
