pytanie,odpowiedz_wygenerowana
W jakiej wysokości wypłacane jest stypendium rektora w roku akademickim 2025/2026 i w jaki sposób należy złożyć wniosek o jego przyznanie?,"Stypendium rektora w roku akademickim 2025/2026 wypłacane jest w wysokości określonej w § 22 Regulaminu świadczeń dla studentów Politechniki Warszawskiej na rok akademicki 2025/2026. Dokładnej kwoty nie posiadam w dostępnych zasobach.

Wniosek o przyznanie stypendium rektora należy złożyć wyłącznie elektronicznie w systemie USOSweb. Termin składania wniosków w semestrze letnim przypada na okres od 12 do 18 marca 2026 r. (II etap akcji stypendialnej). Wniosek powinien zawierać m.in. potwierdzenie uzyskanej w poprzednim roku średniej ocen oraz oświadczenie o zrzeczeniu się odwołania. Decyzja administracyjna o przyznaniu lub odmowie przyznania stypendium zostanie wydana po 4 kwietnia 2026 r."
"Za co i w jakiej maksymalnej liczbie student może otrzymać punkty podczas zaliczania przedmiotu ""Matematyka popularna""?","Student może otrzymać punkty w następujących kategoriach:

- Ocena aktywności uczestnika w czasie wystąpień kolegów – maksymalnie 20 punktów.  
- Ocena prezentacji pod kątem poprawności merytorycznej i sposobu przedstawienia – maksymalnie 30 punktów.  
- Testy – maksymalnie 20 punktów.  
- Projekty – maksymalnie 20 punktów.  
- Aktywność na zajęciach – maksymalnie 10 punktów.  

Łączna maksymalna liczba punktów, jaką student może uzyskać za przedmiot „Matematyka popularna”, wynosi 100 punktów."
Ile razy w trakcie roku akademickiego student może otrzymać zapomogę z tytułu trudnej sytuacji życiowej?,Student może otrzymać zapomogę nie częściej niż dwa razy w roku akademickim.
"W jakiej formie odbywa się egzamin końcowy z przedmiotu ""Teoria gier"" i w jaki sposób obliczana jest ocena ostateczna?","Egzamin końcowy z przedmiotu „Teoria gier” (kod 177) odbywa się w formie pisemnego testu przeprowadzanego w sali wykładowej po uzyskaniu pozytywnej oceny z ćwiczeń. Ocena ostateczna wyliczana jest na podstawie sumy punktów uzyskanych we wszystkich elementach zaliczenia (ćwiczenia, ewentualne kolokwia, projekt oraz egzamin końcowy). Po zsumowaniu punktów stosuje się następującą skalę:

‑ mniej niż 50 punktów – ocena 2,0  
‑ powyżej 50 punktów do 60 punktów (włącznie) – ocena 3,0  
‑ powyżej 60 punktów do 70 punktów (włącznie) – ocena 3,5  
‑ powyżej 70 punktów do 80 punktów (włącznie) – ocena 4,0  
‑ powyżej 80 punktów do 90 punktów (włącznie) – ocena 4,5  
‑ powyżej 90 punktów – ocena 5,0."
"Ile punktów należy zdobyć, aby zaliczyć przedmiot ""Algorytmiczne zastosowania łańcuchów Markowa"" i z jakich aktywności się one składają?","Aby zaliczyć przedmiot „Algorytmiczne zastosowania łańcuchów Markowa”, należy uzyskać łącznie 20 punktów. Punkty te składają się z sumy wyników uzyskanych na obu kolokwiach oraz z punktów przyznawanych za aktywności (np. ćwiczenia, laboratoria, projekt)."
Kto na Wydziale MiNI pełni funkcję Pełnomocnika Dziekana ds. Osób z Niepełnosprawnościami?,Pełnomocnikiem Dziekana ds. osób z niepełnosprawnościami na Wydziale MiNI jest mgr Ewelina Szczęsna.
W jakich godzinach i w jakiej sali dostępna jest obsługa laboratorium Informatyki na Wydziale MiNI?,Obsługa laboratorium Informatyki znajduje się na trzecim piętrze w sali 323 budynku MiNI. Informacji o godzinach jej otwarcia nie posiadam w dostępnych zasobach.
Ile dni przed egzaminem dyplomowym promotor i recenzent muszą zamieścić swoje recenzje pracy w systemie APD?,Promotor i recenzent muszą zamieścić swoje recenzje pracy dyplomowej w systemie APD co najmniej trzy dni przed terminem egzaminu dyplomowego.
"Z kim i w jakiej sali odbywają się zajęcia laboratoryjne z przedmiotu ""Podstawy systemu UNIX"" dla grupy 6 na pierwszym semestrze kierunku Informatyka i Systemy Informacyjne?","W poniedziałek od 14:15 do 16:00 odbywają się zajęcia laboratoryjne z przedmiotu „Podstawy systemu UNIX” (grupa 6) w sali 202 (LAB) budynku MiNI, prowadzone przez Elenę Konecką."
"Jakie wsparcie finansowe przewidziano dla studentów uczestniczących w projekcie ""Szkoła Orłów na PW""?","Projekt „Szkoła Orłów na PW” jest finansowany przez Ministerstwo Nauki i Szkolnictwa Wyższego, co zapewnia uczestniczącym studentom wsparcie materialne. W dostępnych źródłach nie podano konkretnych kwot ani szczegółowych warunków przyznawania tego wsparcia. Nie mam tej informacji w dostępnych zasobach."
"Jakie przedmioty poprzedzające są wymagane do podjęcia przedmiotu ""Programming Multilayered and Mobile Apps Based on React""?","Wymagane przedmioty poprzedzające to:

Programowanie Równoległe i Rozproszone, Metody Numeryczne, Programowanie C, Programowanie C++ oraz Analiza matematyczna 1, Analiza matematyczna 2, Analiza matematyczna 3 i Analiza Funkcjonalna."
W jakiej formie i za pośrednictwem jakiego systemu student powinien złożyć podanie o urlop zdrowotny lub o zmianę grupy zajęciowej?,"Podanie o urlop zdrowotny oraz podanie o zmianę grupy zajęciowej student składa wyłącznie w formie elektronicznej, korzystając z systemu USOSweb. Wystarczy zalogować się do USOSweb, wybrać odpowiednią kategorię podań i kliknąć „Złóż nowe podanie”. Nie ma wymogu składania dokumentów w formie papierowej."
Czy student odbywający praktyki poza stałym miejscem zamieszkania i siedzibą uczelni może ubiegać się o dofinansowanie kosztów?,"Tak, student odbywający praktyki poza stałym miejscem zamieszkania i siedzibą uczelni może ubiegać się o dofinansowanie poniesionych i należycie udokumentowanych kosztów zakwaterowania oraz dojazdów."
Ile łącznie miejsc parkingowych znajduje się w dyspozycji Wydziału MiNI i ile z nich zlokalizowanych jest w garażu podziemnym?,"Łączna liczba miejsc parkingowych w dyspozycji Wydziału MiNI wynosi 57, z czego 50 znajduje się w garażu podziemnym."
Czego dotyczy efekt uczenia się o symbolu MAD1_W03 na studiach pierwszego stopnia na kierunku Matematyka i Analiza Danych?,Nie mam tej informacji w dostępnych zasobach.
"Ile punktów ECTS student studiów pierwszego stopnia musi zdobyć, aby uzyskać rejestrację na trzeci rok studiów?","Student studiów pierwszego stopnia musi uzyskać co najmniej 105 punktów ECTS, aby uzyskać rejestrację na trzeci rok studiów."
Jakie są konsekwencje stwierdzenia niesamodzielności pracy lub korzystania z niedozwolonych materiałów i urządzeń podczas sprawdzianu?,"Zgodnie z § 19 punkt 4 Regulaminu studiów Politechniki Warszawskiej, jeżeli podczas weryfikacji osiągnięcia efektów uczenia się zostanie stwierdzona niesamodzielność pracy studenta lub korzystanie z materiałów lub urządzeń innych niż dozwolone w regulaminie przedmiotu, student otrzymuje ocenę niedostateczną. Dodatkowo traci prawo do zaliczenia przedmiotu w bieżącej realizacji i musi powtarzać zajęcia z tego przedmiotu."
Kiedy najpóźniej student powinien złożyć wniosek o przeniesienie na inny program studiów i czyjej zgody do tego potrzebuje?,"Student powinien złożyć wniosek o przeniesienie nie później niż miesiąc przed rozpoczęciem semestru, w którym ma zostać przyjęty na nowy program studiów. Do jego rozpatrzenia wymagana jest zgoda dziekana wydziału macierzystego (z którego studiuje) oraz dziekana wydziału przyjmującego (do którego chce się przenieść)."
Który dokument związany z praktykami student musi dostarczyć koniecznie w formie papierowej?,Student musi koniecznie dostarczyć w formie papierowej sprawozdanie z przebiegu praktyki.
Jaki próg dochodowy netto na osobę w rodzinie uprawnia studenta do otrzymywania stypendium socjalnego od 1 października 2025 roku?,"Próg dochodowy netto na osobę w rodzinie uprawniający studenta do otrzymywania stypendium socjalnego od 1 października 2025 r. wynosi 1 908,90 zł."
"Na jakiej podstawie wystawiana jest ocena zaliczeniowa z przedmiotu ""Wnioskowanie rozmyte""?","Ocena zaliczeniowa z przedmiotu „Wnioskowanie rozmyte” jest wystawiana po spełnieniu następujących warunków określonych w programie przedmiotu:

1. **Udział w zajęciach** – obowiązkowa obecność na wykładach, ćwiczeniach oraz zajęciach projektowych prowadzonych w semestrze zimowym.  
2. **Zaliczenie prac projektowych** – samodzielne opracowanie wybranego zagadnienia w formie pisemnego referatu oraz jego prezentacja podczas zajęć projektowych.  
3. **Wykonanie zadań i ćwiczeń** – rozwiązanie przydzielonych zadań praktycznych i teoretycznych, które sprawdzają znajomość podstawowych pojęć teorii zbiorów rozmytych, logik rozmytych, reguł IF‑THEN oraz metod aproksymacji.  
4. **Spełnienie efektów uczenia się** – wykazanie w praktyce umiejętności stosowania narzędzi i technik wnioskowania rozmytego w problemach decyzyjnych oraz w systemach informacyjnych, co jest oceniane na podstawie wyników projektu i ewentualnych testów.  

Po pozytywnym spełnieniu powyższych elementów koordynator przedmiotu, dr Anna Maria Radzikowska, wystawia ocenę zaliczeniową (zaliczone/niezaliczone). Jeśli którykolwiek z wymienionych warunków nie zostanie spełniony, ocena może zostać wystawiona jako niezaliczona."
"Jakie warunki należy spełnić, aby zaliczyć przedmiot ""Zaawansowane programowanie obiektowe i funkcyjne""?",Nie mam tej informacji w dostępnych zasobach.
Ile razy w trakcie jednego roku akademickiego student może otrzymać zapomogę i czy możliwe jest przyznanie jej dwukrotnie z tego samego powodu?,"Student może otrzymać zapomogę maksymalnie dwa razy w ciągu jednego roku akademickiego. Informacji, czy przyznanie jej dwukrotnie z tego samego powodu jest dopuszczalne, w dostępnych źródłach nie ma. Nie mam tej informacji w dostępnych zasobach."
Gdzie i przez jaki czas przechowywane są protokoły Komisji Programowej dotyczące praktyk studenckich?,Protokoły Komisji Programowej dotyczące praktyk studenckich są przechowywane w Dziekanacie Wydziału Matematyki i Nauk Informacyjnych przez okres określony w Instrukcji Kancelaryjnej Politechniki Warszawskiej.
"Jakie elementy wpływają na ocenę końcową z przedmiotu ""Matematyka popularna""?","Na ocenę końcową z przedmiotu „Matematyka popularna” wpływają następujące elementy:

- projekt zespołowy (waga 50 %),
- indywidualna prezentacja (waga 30 %),
- udział w laboratoriach (waga 20 %),

oraz dodatkowo:

- kolokwium (waga 50 %),
- projekt (waga 50 %),

a także oceny z ćwiczeń, które mogą stanowić 70 % oceny końcowej. Ostateczna ocena wyliczana jest jako suma uzyskanych punktów lub średnia ważona wskazanych składników, przy czym uzyskanie 60 punktów lub więcej przekłada się na ocenę 3,5 (dst+)."
"Z jakich elementów i z jakimi wagami wyliczana jest ocena końcowa z przedmiotu ""Agent Systems and Applications""?","Ocena końcowa z przedmiotu „Agent Systems and Applications” wyliczana jest jako suma trzech elementów: projekt zespołowy – 50 % końcowej oceny, indywidualna prezentacja – 30 % końcowej oceny oraz udział w laboratoriach – 20 % końcowej oceny."
W jakim pokoju znajduje się gabinet Krzysztofa Baneckiego na Wydziale MiNI?,Gabinet Krzysztofa Baneckiego znajduje się w pokoju 422 w Gmachu MiNI na Kampusie Głównym PW.
Na ile dni przed terminem egzaminu dyplomowego promotor oraz recenzent powinni zamieścić swoje recenzje pracy w systemie APD?,Promotor i recenzent powinni zamieścić swoje recenzje pracy w systemie APD co najmniej trzy dni przed wyznaczonym terminem egzaminu dyplomowego.
Co należy zrobić w przypadku zapomnienia lub zgubienia danych logowania do konta wydziałowego?,"W przypadku zapomnienia lub zgubienia danych logowania należy udać się do sali 323 w g‑mie MiNI, gdzie obsługa laboratorium wygeneruje nowe losowe hasło i udzieli pomocy w jego zmianie. W razie potrzeby można także skontaktować się telefonicznie pod numerami 22 621‑93‑12 lub 22 234‑79‑88."
"Jakie wsparcie finansowe otrzymuje student biorący udział w projekcie ""Szkoła Orłów na PW""?","Student uczestniczący w projekcie „Szkoła Orłów na PW” otrzymuje wsparcie finansowe pochodzące z funduszy Ministerstwa Nauki i Szkolnictwa Wyższego, które jest przeznaczone na realizację tego projektu. Środki te obejmują pokrycie kosztów związanych z udziałem w programie, w tym materiały dydaktyczne, ewentualne stypendia oraz inne formy pomocy materialnej, które mają na celu ułatwienie wybitnie uzdolnionym studentom realizacji ich potencjału. Projekt został zaprojektowany tak, aby objąć wsparciem 500 studentów, a jego finansowanie jest jednorazowe i obowiązuje do 31 lipca 2022 r. (z wyłączeniem wakacji letnich). Szczegółowe kwoty i warunki przyznania poszczególnych form wsparcia są ustalane indywidualnie w ramach projektu i nie są podane w dostępnych zasobach."
W jakim terminie student może zgłosić do Dziekana odwołanie od decyzji Komisji Kwalifikacyjnej po pierwszej turze rekrutacji na wyjazdy z programu Erasmus+ na rok akademicki 2023/2024?,Student może zgłosić odwołanie do Dziekana w terminie od 13 do 17 marca 2024 roku.
Gdzie i w jakiej formie należy złożyć podanie o zmianę grupy studenckiej lub zajęciowej?,Podanie o zmianę grupy studenckiej lub zajęciowej należy złożyć elektronicznie w systemie USOSweb.
"W jakiej formie odbywa się egzamin końcowy z przedmiotu ""Teoria gier"" i jaki warunek należy spełnić, aby móc do niego przystąpić?","Egzamin końcowy z przedmiotu „Teoria gier” odbywa się w formie pisemnego egzaminu. Aby móc przystąpić do egzaminu, należy uprzednio uzyskać pozytywną ocenę z ćwiczeń."
"Kiedy, gdzie i z kim odbywają się zajęcia z przedmiotu ""Projekt interdyscyplinarny"" dla grupy 4 na 6 semestrze studiów pierwszego stopnia na kierunku Inżynieria i analiza danych?","09:45–11:15 — Projekt interdyscyplinarny (projekt, grupa 4), sala 218 (LAB), bud. MiNI, prowadzący: Stanisław Kaźmierczak.  
13:45–15:30 — Projekt interdyscyplinarny (Laboratorium, grupa 4), sala 218 (LAB), bud. MiNI, prowadzący: Stanisław Kaźmierczak.  
15:15–17:00 — Projekt interdyscyplinarny (Laboratorium, grupa 4), sala 218 (LAB), bud. MiNI, prowadzący: Stanisław Kaźmierczak.  
18:15–20:00 — Projekt interdyscyplinarny (Laboratorium, grupa 4), sala 318, bud. MiNI, prowadzący: Stanisław Kaźmierczak.  
18:15–19:00 — Projekt interdyscyplinarny (projekt, grupa 4), sala 318, bud. MiNI, prowadzący: Stanisław Kaźmierczak."
Jakie formy sprawdzania wiedzy są stosowane do weryfikacji i oceny efektów uczenia się osiągniętych przez studenta w trakcie całego cyklu kształcenia?,"Formy sprawdzania wiedzy stosowane do weryfikacji i oceny efektów uczenia się osiągniętych przez studenta w trakcie całego cyklu kształcenia obejmują:

egzamin pisemny, egzamin ustny, kolokwium pisemne, kolokwium ustne, sprawozdanie/raport pisemny, ocenę aktywności podczas zajęć, prezentację, esej, samoocenę, projekt oraz pracę domową."
"Jakie dodatkowe wymaganie, oprócz odpowiedniej liczby punktów ECTS, musi spełnić student kierunku Inżynieria i Analiza Danych, aby uzyskać bezwarunkową rejestrację na 7 semestr?","Oprócz uzyskania wymaganej liczby punktów ECTS, student kierunku Inżynieria i Analiza Danych musi mieć zaliczone praktyki studenckie oraz formalnie potwierdzone ich zaliczenie przez Pełnomocnika Dziekana ds. Praktyk Studenckich."
Jaki dokument tożsamości powinien znajdować się na stole studenta podczas sprawdzianu lub egzaminu na Wydziale MiNI?,"Podczas sprawdzianu lub egzaminu student powinien mieć pod ręką dokument tożsamości (np. dowód osobisty) lub legitymację studencką, które może okazać na wezwanie weryfikatora."
Który dokument dotyczący odbywania praktyk studenckich na Wydziale MiNI należy obowiązkowo dostarczyć w formie papierowej?,Obowiązkowo w formie papierowej należy dostarczyć skierowanie na praktykę studencką.
"Z jakich części składa się ocena projektu na przedmiocie ""Tworzenie aplikacji webowych z wykorzystaniem .NET Framework""?","Ocena projektu składa się z następujących części: realizacja wymaganych założeń projektu – 50 punktów, realizacja koncepcji aplikacji wielowarstwowej – 20 punktów, jakość kodu – 10 punktów, terminowość i współpraca – 10 punktów oraz UX/UI oraz funkcjonalność aplikacji – 10 punktów."
"Z jakich elementów i w jakich proporcjach wyliczana jest punktacja z przedmiotu ""Informatyka obrazów""?","Punktacja z przedmiotu „Informatyka obrazów” jest sumą punktów przyznawanych za poszczególne elementy zaliczenia (np. wykład, laboratorium, projekt, monografię). Jeśli praca jest niekompletna, uzyskane punkty przyznawane są proporcjonalnie do stopnia jej realizacji. Decydującą rolę w ocenie odgrywa łączna liczba punktów, a nie ich podział na konkretne części. Nie mam tej informacji w dostępnych zasobach, aby podać dokładne proporcje poszczególnych elementów."
Kiedy wypłacane są stypendia studenckie na Politechnice Warszawskiej?,"Stypendia studenckie na Politechnice Warszawskiej są wypłacane co miesiąc w semestrze letnim, czyli od marca do lipca, po piątym dniu każdego miesiąca."
"W jaki sposób wystawiana jest ocena sumatywna z przedmiotu ""Systemy wspomagania decyzji"" i ile punktów jest wymaganych do jego zaliczenia?","Ocena sumatywna z przedmiotu „Systemy wspomagania decyzji” jest wyliczana jako suma punktów uzyskanych za wszystkie ćwiczenia oraz za dwie części prezentacji projektowej.  

Do uzyskania pozytywnej oceny końcowej konieczne jest spełnienie dwóch warunków:  

1. **Co najmniej 50 % punktów** musi zostać zdobyte w każdym z osobno punktowanych zadań (ćwiczenia oraz każda z części prezentacji).  
2. **Suma punktów** ze wszystkich zadań decyduje o przyznanej ocenie według następującej skali:  
   - 22 – 24 punkty → ocena 3,0  
   - 25 – 28 punkty → ocena 3,5  
   - 29 – 32 punkty → ocena 4,0  
   - 33 – 36 punkty → ocena 4,5  
   - 37 – 40 punkty → ocena 5,0  

Zatem minimalna liczba punktów wymagana do zaliczenia przedmiotu wynosi **22 punkty** (co odpowiada ocenie 3,0), pod warunkiem uzyskania przynajmniej połowy maksymalnych punktów w każdym z poszczególnych zadań."
Jaka jest wysokość stypendium rektora oraz stypendium dla tegorocznych maturzystów na Wydziale MiNI?,Wysokość stypendium rektora oraz stypendium rektora dla tegorocznych maturzystów na Wydziale MiNI wynosi 635 zł.
"Z jakich elementów składa się ocena końcowa z przedmiotu ""Przetwarzanie danych w systemie SAS"" i ile maksymalnie punktów można uzyskać za projekt zespołowy?","Ocena końcowa z przedmiotu „Przetwarzanie danych w systemie SAS” składa się z trzech elementów: projekt zespołowy (50 % oceny), indywidualna prezentacja (30 % oceny) oraz udział w laboratoriach (20 % oceny). Maksymalna liczba punktów, jaką można uzyskać za projekt zespołowy, wynosi 30 punktów."
W jakie dni i w jakich godzinach studenci mogą załatwiać sprawy w dziekanacie wydziału?,"Dziekanat Wydziału Matematyki i Nauk Informacyjnych przyjmuje studentów w następujących dniach i godzinach:  

poniedziałek – 11:00 – 14:00  
wtorek – 11:00 – 14:00  
środa – nieczynne  
czwartek – 11:00 – 14:00  
piątek – 11:00 – 14:00."
Kto na Wydziale MiNI przechowuje wypełnione przez pracodawców ankiety oraz oryginalne sprawozdania dotyczące praktyk studenckich?,Wypełnione przez pracodawców ankiety oraz oryginalne sprawozdania dotyczące praktyk studenckich przechowuje Pełnomocnik ds. Praktyk.
Na jaki okres przyznawane są studentom serwery wirtualne na Wydziale MiNI i czy można ten czas przedłużyć?,"Serwery wirtualne przyznawane są studentom na jeden semestr – od daty uruchomienia serwera do dnia poprzedzającego rozpoczęcie kolejnego semestru. Przedłużenie czasu życia istniejącego serwera jest możliwe, pod warunkiem dostępności wystarczających zasobów dla wszystkich chętnych."
W jakiej formie należy złożyć podanie o przesunięcie terminu złożenia pracy dyplomowej o 3 miesiące?,"Podanie o przesunięcie terminu złożenia pracy dyplomowej o trzy miesiące należy złożyć elektronicznie w systemie USOSweb, w zakładce „Dla studentów → Podania ePW”."
"Jakie wsparcie finansowe otrzymują studenci uczestniczący w projekcie ""Szkoła Orłów na PW""?","Uczestnicy projektu „Szkoła Orłów na PW” otrzymują wsparcie stypendialne w wysokości 1 370,70 zł miesięcznie. Nie mam dodatkowych informacji o innych formach pomocy finansowej w ramach tego projektu w dostępnych zasobach."
"Ile punktów ECTS może uzyskać student za zaliczenie przedmiotu ""Siła nauki - granice poznania""?",Student może uzyskać 4 punkty ECTS za zaliczenie przedmiotu „Siła nauki – granice poznania”.
"Ile punktów ECTS musi zdobyć student studiów stacjonarnych pierwszego stopnia, aby uzyskać rejestrację na drugi semestr?","Student studiów stacjonarnych pierwszego stopnia musi uzyskać co najmniej 16 ECTS do końca zimowej lub jesiennej sesji egzaminacyjnej, aby móc zarejestrować się na drugi semestr."
Jaki dokument tożsamości powinien leżeć na stole studenta podczas trwania sprawdzianu lub egzaminu na Wydziale MiNI?,"Podczas sprawdzianu lub egzaminu student powinien mieć na stole dokument tożsamości (np. dowód osobisty, paszport) lub legitymację studencką, gotowy do okazania na wezwanie."
Czy obecność studenta na wykładach odbywających się na Politechnice Warszawskiej jest obowiązkowa?,"Obecność studenta na wykładach na Politechnice Warszawskiej nie jest obowiązkowa, jednak jest zalecana i w ramach wielu przedmiotów wymaga spełnienia wymogu 30 godzin obecności."
W jakich dniach i w jakich godzinach będą przyjmowane dokumenty od kandydatów zakwalifikowanych na studia pierwszego stopnia w lipcu 2025 roku?,Dokumenty od kandydatów zakwalifikowanych na studia pierwszego stopnia będą przyjmowane w dniach 21‑24 lipca 2025 roku w godzinach 9:00–15:00.
"Kto prowadzi laboratoria z przedmiotu ""Składowanie danych w systemach Big Data"" dla grupy 5 na 7 semestrze kierunku Inżynieria i analiza danych i w jakiej sali się one odbywają?",Laboratorium z przedmiotu „Składowanie danych w systemach Big Data” dla grupy 5 w semestrze 7 na kierunku Inżynieria i Analiza Danych prowadzi dr inż. Elena Konecka. Zajęcia odbywają się w sali 304 w budynku CWI.
"Jakie zadania muszą wykonać studenci w ramach projektu z przedmiotu ""Procesory graficzne w zastosowaniach obliczeniowych"" i na jakim sprzęcie jest on przeprowadzany?","Studenci w ramach projektu z przedmiotu „Procesory graficzne w zastosowaniach obliczeniowych” muszą wykonać dwa zadania programistyczne. Każde z nich powinno mieć dwie wersje: jedną działającą na procesorze CPU oraz drugą wykorzystującą procesor graficzny (GPU) w technologii CUDA (lub OpenCL). Projekty muszą być uruchamiane w laboratoriach wydziałowych, czyli na komputerach wyposażonych w karty graficzne obsługujące CUDA, dostępnych w salach laboratoryjnych (np. sala 304 w budynku 1120‑MIN)."
Czy parkowanie na miejscach będących w dyspozycji Wydziału MiNI jest płatne i ile wynosi łączna liczba takich miejsc?,Parkowanie na miejscach będących w dyspozycji Wydziału MiNI jest bezpłatne. Łączna liczba takich miejsc wynosi 57.
Jaki próg dochodowy na osobę w rodzinie uprawnia studenta do otrzymania stypendium socjalnego od 1 października 2025 roku?,"Próg dochodowy na osobę w rodzinie uprawniający studenta do otrzymania stypendium socjalnego od 1 października 2025 roku wynosi 1 908,90 zł."
W jakich godzinach oraz w której sali dostępna jest dla studentów obsługa Laboratorium Informatyki na Wydziale MiNI?,Obsługa Laboratorium Informatyki znajduje się w sali 323 na trzecim piętrze budynku MiNI. Nie mam tej informacji w dostępnych zasobach dotyczącej godzin jej otwarcia.
Na jakim poziomie znajomości języka obcego absolwent powinien potrafić przedstawić wyniki badań w formie referatu (zgodnie z efektem M2_U09)?,"Absolwent powinien posługiwać się językiem obcym na poziomie B2 Europejskiego Systemu Opisu Kształcenia Językowego, aby móc przedstawić wyniki badań w formie referatu."
"Ile godzin w tygodniu trwają wykłady, a ile ćwiczenia z przedmiotu ""Algebra liniowa z geometrią 1"" na pierwszym semestrze studiów I stopnia na kierunku Matematyka i Analiza Danych?","Wykłady trwają 3 godziny w tygodniu, a ćwiczenia – 3 godziny w tygodniu."
Na ile dni przed egzaminem dyplomowym promotor i recenzent mają obowiązek zamieścić recenzję w systemie APD?,Promotor i recenzent muszą zamieścić recenzję w systemie APD co najmniej 3 dni przed terminem egzaminu dyplomowego.
Ile czasu zazwyczaj trzeba czekać na wydanie duplikatu elektronicznej legitymacji studenckiej (ELS)?,Czas oczekiwania na wydanie duplikatu elektronicznej legitymacji studenckiej wynosi zazwyczaj od 7 do 10 dni roboczych.
W którym pokoju Gmachu MiNI znajduje się gabinet Krzysztofa Baneckiego i na jaki adres e-mail można się z nim kontaktować?,Gabinet Krzysztofa Baneckiego znajduje się w pokoju 422 w Gmachu MiNI na Kampusie Głównym PW. Kontakt mailowy: krzysztof.banecki@pw.edu.pl.
Czy wszystkie dokumenty związane z organizacją praktyk studenckich można przesłać do dziekanatu w formie skanu?,"Tak, wszystkie wymagane dokumenty związane z organizacją praktyk studenckich – w tym wniosek o możliwość odbycia praktyk, program praktyki, opinie opiekuna, porozumienia, skierowania oraz zaświadczenia – mogą być przesłane do dziekanatu w formie skanu. Dokumenty należy przesłać na adres e‑mail dziekanatu lub dostarczyć w formie elektronicznej zgodnie z obowiązującymi procedurami. Jeśli jednak któryś z dokumentów wymaga podpisu własnego, należy zapewnić jego czytelność na skanie. W razie wątpliwości warto skontaktować się z Pełnomocnikiem ds. Praktyk (dr inż. Łukasz Błaszczyk) pod adresem praktyki.mini@pw.edu.pl."
Jaka jest wysokość stypendium rektora dla tegorocznych maturzystów?,Wysokość stypendium rektora dla tegorocznych maturzystów wynosi 635 zł.
W jaki sposób należy składać podanie o urlop zdrowotny?,"Podanie o urlop zdrowotny należy składać w formie elektronicznej przez system USOSweb. Wniosek musi zawierać podpis, pieczęć oraz datę, a także dołączyć orzeczenie uprawnionego lekarza potwierdzające niezdolność do pracy. Wszystkie wymagane dokumenty należy załadować w odpowiednim formularzu w USOSweb i zatwierdzić elektronicznie."
Do jakiego wieku uczestnicy mogą brać udział w zajęciach organizowanych w ramach Młodzieżowej Akademii Matematyki i Informatyki?,"Uczestnikami mogą być niepełnoletnie osoby, pełnoletnie uczące się do ukończenia 26. roku życia oraz osoby niepełnosprawne – bez względu na ich wiek."
"Jakie wsparcie finansowe otrzymuje student zakwalifikowany do projektu ""Szkoła Orłów na PW""?","Student zakwalifikowany do projektu „Szkoła Orłów na PW” otrzymuje wsparcie stypendialne w wysokości 1 370,70 zł miesięcznie."
"Jakie przedmioty stanowią wymagania wstępne do realizacji przedmiotu ""Teoria gier""?",Wymaganiami wstępnymi do przedmiotu „Teoria gier” są: Rachunek prawdopodobieństwa oraz Algebra liniowa.
"Ile minimalnie punktów ECTS musi uzyskać student studiów pierwszego stopnia, aby otrzymać rejestrację na trzeci semestr?","Student studiów pierwszego stopnia musi uzyskać co najmniej 40 ECTS, aby móc zarejestrować się na trzeci semestr."
"W jakiej sali i z kim odbywają się ćwiczenia z przedmiotu ""Algebra liniowa z geometrią"" dla grupy 1 na pierwszym semestrze kierunku Inżynieria i analiza danych?","Ćwiczenia z przedmiotu „Algebra liniowa z geometrią” dla grupy 1 na pierwszym semestrze kierunku Inżynieria i Analiza Danych odbywają się w sali 312 w budynku MiNI, prowadzone przez Grzegorza Sójkę."
Jakie dokumenty potwierdzające tożsamość powinny znajdować się na stole studenta w trakcie trwania sprawdzianu lub egzaminu na Wydziale MiNI?,"Na stole studenta w trakcie sprawdzianu lub egzaminu powinny znajdować się następujące dokumenty potwierdzające tożsamość: dowód osobisty (lub paszport) oraz legitymacja studencka wydana przez Politechnikę Warszawską. Inne dokumenty (np. karta EKUZ) nie są wymagane, chyba że egzaminator wyraźnie zaznaczy taką potrzebę. Wszystkie wymienione dokumenty muszą być aktualne i czytelne."
"Jakie dokumenty należy dostarczyć, aby zaliczyć praktyki studenckie odbywane na podstawie umowy o pracę?","Aby zaliczyć praktyki studenckie odbywane na podstawie umowy o pracę, należy przedłożyć następujące dokumenty:

- podanie o zaliczenie praktyk,
- kopię umowy o pracę (lub, w przypadku utajnionych umów, zaświadczenie o wpisie do ewidencji działalności gospodarczej),
- program praktyki,
- sprawozdanie z przebiegu praktyki,
- zaświadczenie o zakończeniu praktyk podpisane przez pracodawcę,
- ankietę wypełnioną przez pracodawcę."
Przez jaki czas i gdzie przechowywane są protokoły Komisji Programowej danego kierunku studiów dotyczące praktyk studenckich?,"Protokóły Komisji Programowej danego kierunku studiów dotyczące praktyk studenckich są przechowywane w Dziekanacie przez okres określony w Instrukcji Kancelaryjnej Politechniki Warszawskiej. Nie mam dokładnej liczby lat ani miesięcy, ponieważ jest to ustalone w tej instrukcji."
"Jaka minimalna liczba punktów jest wymagana, aby zaliczyć przedmiot ""Systemy wspomagania decyzji""?",Nie mam tej informacji w dostępnych zasobach.
