query,gold_url,golden_answer_gpt,golden_answer_opus,golden_answer_gemini,skip_reason
jaki jest plan sesji,https://ww2.mini.pw.edu.pl/studia/plany-zajec-i-procedury/plan-sesji/,"Plan sesji (terminy egzaminów i zaliczeń) zwykle jest publikowany w USOSweb oraz na stronie Wydziału MiNI w aktualnościach lub w zakładce dla studentów. Sprawdź też harmonogram roku akademickiego PW, bo określa ogólne daty sesji podstawowej, poprawkowej i przerw.  

Najlepiej:  
1. wejdź do USOSweb → „Dla studentów” / „Terminarz” / przedmioty,  
2. sprawdź stronę MiNI i komunikaty dziekanatu,  
3. w razie braku terminu zapytaj prowadzącego przedmiot.","Plan sesji egzaminacyjnej na MiNI PW jest co semestr publikowany w **harmonogramie roku akademickiego** dostępnym na stronie wydziału (mini.pw.edu.pl) oraz w systemie USOS.

Ogólne ramy zgodne z kalendarzem PW:
- **Sesja zimowa**: zwykle koniec stycznia – początek lutego, sesja poprawkowa w lutym.
- **Sesja letnia**: zwykle czerwiec, sesja poprawkowa we wrześniu.

Szczegółowy plan egzaminów (terminy, sale, prowadzący) ustalają wykładowcy i jest on widoczny w USOS oraz na stronach przedmiotów. Po dokładne daty zajrzyj do aktualnego harmonogramu na stronie MiNI lub zapytaj w dzi",Szczegółowy plan sesji egz,
jakie dni są podmienione na inne dni tygodnia w tym roku akademickim,https://www.pw.edu.pl/studia/harmonogram-roku-akademickiego,,"W roku akademickim 2024/2025 na Politechnice Warszawskiej zazwyczaj występują tzw. dni rektorskie lub dni przesunięte, ale dokładny harmonogram różni się rocznie. Najbardziej aktualne i wiążące informacje znajdziesz w:

1. **Organizacji roku akademickiego** publikowanej przez PW (zarządzenie Rektora) – dostępnej na stronie głównej PW.
2. **Stronie Wydziału MiNI** (mini.pw.edu.pl) – w sekcji aktualności lub dla studentów.
3. **USOS-ie** – w kalendarzu akademickim.

Typowe przesunięcia dotyczą np. piątków odrabianych w innym terminie po dniach świątecznych (np. po 1–3 maja czy w okolicach Bożego Ciała). Polec",Dokładne informacje o dniach podmienionych (np,
kiedy zaczyna się sesja,https://www.pw.edu.pl/studia/harmonogram-roku-akademickiego,"Sesja zaczyna się zgodnie z harmonogramem roku akademickiego PW — dokładne daty są w kalendarzu akademickim na stronie Politechniki Warszawskiej oraz zwykle w USOS.  

Orientacyjnie:  
- sesja zimowa: koniec stycznia / początek lutego,  
- sesja letnia: czerwiec, po zakończeniu zajęć,  
- sesja poprawkowa: zwykle wrzesień.  

Najpewniej sprawdź „Harmonogram roku akademickiego” na stronie PW lub komunikaty dziekanatu MiNI.","Sesja egzaminacyjna na Politechnice Warszawskiej zazwyczaj rozpoczyna się:
- **sesja zimowa** – na początku lutego (zwykle 1–2 tygodnie po zakończeniu zajęć w semestrze zimowym),
- **sesja letnia** – na przełomie czerwca i lipca.

Dokładne terminy znajdziesz w organizacji roku akademickiego na stronie PW (pw.edu.pl) lub w harmonogramie wydziału MiNI. Warto też sprawdzić USOSweb, gdzie pojawiają się terminy konkretnych egzaminów.",Dokładny termin rozpoczęcia sesji egzaminacyj,
parking na mini,https://ww2.mini.pw.edu.pl/wp-content/uploads/parking_zasady_2013_05_20.pdf,"Parking przy Wydziale MiNI PW jest zasadniczo ograniczony i zwykle dostępny dla pracowników oraz osób z uprawnieniami/wjazdem zgłoszonym wcześniej.  

Jeśli potrzebujesz wjazdu:
1. skontaktuj się z administracją/sekretariatem MiNI lub osobą zapraszającą,
2. podaj numer rejestracyjny auta i termin,
3. odbierz/uzyskaj zgodę lub informację od portierni/ochrony.

Studenci najczęściej korzystają z parkowania miejskiego w okolicy — obowiązuje strefa płatnego parkowania.","Wydział MiNI PW znajduje się w gmachu przy ul. Koszykowej 75 (kampus główny PW). Parking wewnętrzny na terenie kampusu jest płatny i dostępny głównie dla pracowników z odpowiednim abonamentem/kartą wjazdową — studenci zwykle nie mają tam możliwości parkowania.

Alternatywy:
- miejsca w Strefie Płatnego Parkowania na okolicznych ulicach (Koszykowa, Noakowskiego, Polna),
- dojazd komunikacją miejską (metro Politechnika ~5 min pieszo).

Po szczegóły (abonament, identyfikator wjazdowy) najlepiej zwrócić się do dziekanatu MiNI lub administracji obiektu.",Wydział MiNI posiada parking podziemny,
ile ects aby zdać semestr,https://ww2.mini.pw.edu.pl/wp-content/uploads/Warunki-rejestracji-na-kolejny-semestr_rok-studi%C3%B3w.pdf,"Standardowo semestr studiów odpowiada **30 ECTS** — tyle punktów przewiduje plan studiów do pełnego zaliczenia semestru.  

Aby przejść na kolejny semestr, zwykle trzeba mieć zaliczone wymagane przedmioty oraz nie przekroczyć dopuszczalnego **deficytu ECTS**, jeśli wydział go dopuszcza. Dokładny próg zależy od kierunku, semestru i aktualnych zasad rejestracji na MiNI, więc najlepiej sprawdzić komunikat dziekanatu lub warunki rejestracji w USOS.","Aby zaliczyć semestr na MiNI PW (zgodnie z Regulaminem Studiów PW), standardowo należy uzyskać **30 ECTS** w semestrze, czyli **60 ECTS rocznie**.

W praktyce dziekan może warunkowo wpisać studenta na kolejny semestr przy pewnym deficycie punktów (tzw. wpis warunkowy / dług punktowy), ale szczegółowe limity określa regulamin i decyzja dziekana — warto sprawdzić aktualny Regulamin Studiów PW lub zapytać w dziekanacie MiNI.",Aby w pełni zaliczyć semestr,
godziny otwarcia,https://ww2.mini.pw.edu.pl/studia/dziekanat/kontakt-i-dyzury/,"Godziny otwarcia zależą od konkretnej jednostki na MiNI, np. dziekanatu, biblioteki, sekretariatu czy kasy. Najpewniej sprawdzisz je na stronie Wydziału MiNI PW w zakładce danej jednostki albo w USOS/aktualnościach wydziałowych.  

Jeśli chodzi o dziekanat, warto też sprawdzić osobno godziny obsługi studentów oraz ewentualne godziny dyżurów telefonicznych/mailowych.","Godziny otwarcia czego konkretnie? Na wydziale MiNI funkcjonuje wiele jednostek z różnymi godzinami:

- **Dziekanat** – zazwyczaj czynny od poniedziałku do piątku, z przerwą w środy (dzień wewnętrzny). Godziny przyjęć studentów są zwykle krótsze niż godziny pracy.
- **Biblioteka MiNI** – otwarta w dni robocze, z reguły do późnych godzin popołudniowych.
- **Budynek wydziału** – dostępny dla studentów w dni zajęć dydaktycznych.

Doprecyzuj, o jakie miejsce pytasz, to podam bardziej szczegółową informację. Aktualne godziny najlepiej zawsze sprawdzić na stronie [mini.pw.edu.pl](https://www.mini.",Provide general building hours (approx. 7:0,
dni wolne od zajęć,https://www.pw.edu.pl/studia/harmonogram-roku-akademickiego,"Dni wolne od zajęć na MiNI wynikają głównie z **harmonogramu roku akademickiego Politechniki Warszawskiej** oraz ewentualnych **godzin/dni dziekańskich** ogłaszanych przez Dziekana.  

Sprawdź przede wszystkim:  
1. stronę PW z kalendarzem roku akademickiego,  
2. komunikaty na stronie Wydziału MiNI,  
3. ogłoszenia w USOS / na poczcie studenckiej.  

Jeśli chodzi o konkretny termin, najlepiej zweryfikować go w aktualnym harmonogramie, bo dni wolne mogą się różnić w zależności od roku akademickiego.","Dni wolne od zajęć na MiNI PW wynikają z kilku źródeł:

1. **Święta państwowe i kościelne** – ustawowo wolne (np. 1 i 11 listopada, 1 i 3 maja, Boże Narodzenie, Wielkanoc).
2. **Dni rektorskie** – ogłaszane zarządzeniem Rektora PW (np. piątek po Bożym Ciele, 2 maja, dni juwenaliów).
3. **Dni dziekańskie** – ogłaszane przez Dziekana MiNI w konkretnych przypadkach.
4. **Przerwy semestralne** – świąteczne (Boże Narodzenie, Wielkanoc), międzysemestralna (luty) oraz wakacje letnie.

Aktualny harmonogram roku akademickiego znajdziesz na stronie [www.p",Harmonogram dni wolnych od zajęć,
jaki jest kontakt do poszczególnych osób w dziekanacie,https://ww2.mini.pw.edu.pl/studia/dziekanat/kontakt-i-dyzury/,Aktualne kontakty do poszczególnych osób w dziekanacie MiNI najlepiej sprawdzić na stronie wydziału w zakładce **Wydział / Dziekanat** lub **Kontakt** — tam są podane imiona,"Niestety nie mam aktualnej listy z imiennymi kontaktami do pracowników Dziekanatu MiNI PW. Aby uzyskać aktualne dane kontaktowe, polecam:

1. **Stronę wydziału**: [www.mini.pw.edu.pl](https://www.mini.pw.edu.pl) – w zakładce „Dziekanat"" znajdziesz podział na sekcje (studia stacjonarne, niestacjonarne, doktoranckie) wraz z imionami, mailami i numerami telefonów osób odpowiedzialnych za poszczególne kierunki i lata.
2. **Kontakt ogólny**: dziekanat zwykle obsługuje pod adresem `dziekanat@mini.pw.edu.pl` oraz telefonicznie przez sekretariat wydziału.
3. **Osobiście**: Wydział",Aktualne dane kontaktowe do poszczególnych pracowników,
jakie są godziny otwarcia dziekanatu,https://ww2.mini.pw.edu.pl/studia/dziekanat/kontakt-i-dyzury/,"Aktualne godziny otwarcia dziekanatu MiNI najlepiej sprawdzić na stronie wydziału w zakładce **Studenci → Dziekanat**, ponieważ mogą się zmieniać w semestrze, wakacje lub w okresach zapisów.  

W praktyce przed wizytą warto:
1.","Godziny otwarcia dziekanatu MiNI mogą się różnić w zależności od dnia i sekcji (studia stacjonarne/niestacjonarne, doktoranckie). Zazwyczaj dziekanat przyjmuje studentów od poniedziałku do piątku w godzinach porannych i popołudniowych, z wyłączeniem środy (dzień wewnętrzny – bez przyjęć).

Aktualne godziny najlepiej sprawdzić na oficjalnej stronie wydziału: **mini.pw.edu.pl** w zakładce „Dziekanat"" lub bezpośrednio kontaktując się mailowo/telefonicznie z odpowiednią sekcją dziekanatu.",Godziny otwarcia dziekanatu Wydział,
jaki jest plan sesji w tym semestrze,https://ww2.mini.pw.edu.pl/studia/plany-zajec-i-procedury/plan-sesji/,,"Niestety nie mam dostępu do aktualnego harmonogramu sesji egzaminacyjnej na Wydziale MiNI PW w bieżącym semestrze.

Aktualny plan sesji znajdziesz w następujących miejscach:
- **Strona wydziału**: mini.pw.edu.pl (zakładka ""Studenci"" → ""Harmonogram roku akademickiego"")
- **System USOS**: harmonogramy egzaminów konkretnych przedmiotów
- **Dziekanat MiNI**: w razie wątpliwości

Ogólnie sesja zimowa odbywa się zwykle pod koniec stycznia/na początku lutego, a sesja letnia w czerwcu, z sesją poprawkową odpowiednio w lutym i wrześniu. Dokładne daty co roku ogłasza Rektor PW w zarządzeniu o",Szczegółowy harmonogram sesji egzaminacyj,
w jakie dni danego semestru wypadają dni rektorskie,https://www.pw.edu.pl/studia/harmonogram-roku-akademickiego,"Dni rektorskie zależą od konkretnego semestru i roku akademickiego — są ogłaszane w kalendarzu roku akademickiego PW albo osobnym komunikatem/zarządzeniem Rektora.  

Najlepiej sprawdzić:
1. stronę Politechniki Warszawskiej → **Studenci → Kalendarz roku akademickiego**,  
2. komunikaty na stronie Wydziału MiNI,  
3. ogłoszenia w USOSweb lub na MS Teams/stronie przedmiotu.  

Jeśli podasz konkretny rok akademicki i semestr, mogę pomóc wskazać, gdzie tego szukać lub jak to interpretować.","Dni rektorskie na Politechnice Warszawskiej nie mają stałych dat – są ogłaszane co roku przez Rektora w odrębnym zarządzeniu lub komunikacie, zwykle przed rozpoczęciem każdego semestru.

Najczęściej dni (lub godziny) rektorskie wypadają:
- w semestrze zimowym: w okolicach świąt Bożego Narodzenia, czasem w dniu juwenaliów wydziałowych lub świąt uczelnianych,
- w semestrze letnim: w okolicach majówki, Bożego Ciała oraz Juwenaliów Warszawskich (przełom maja i czerwca).

Aktualny wykaz znajdziesz w **Zarządzeniu Rektora PW w sprawie organizacji roku akademickiego** publikowanym na stronie BIP PW oraz w",Dokładne daty dni rektorsk,
harmonogram roku akademickiego kiedy sa dni wolne,https://www.pw.edu.pl/studia/harmonogram-roku-akademickiego,"Harmonogram roku akademickiego na PW jest ustalany co roku zarządzeniem Rektora, więc konkretne daty zależą od danego roku akademickiego. Dni wolne zwykle obejmują: święta ustawowe, przerwę bożonarodzeniową, przerwę międzysemestralną, przerwę wielkanocną oraz wybrane dni w okolicach majówki; dodatkowo mogą być ogłoszone godziny/dni rektorskie lub dziekańskie.

Sprawdź aktualny harmonogram na stronie głównej Politechniki Warszawskiej w zakładce „Studenci” / „Rok akademicki” albo na stronie MiNI w aktualnościach. Jeśli podasz konkretny rok akademicki, mogę wskazać, czego dokładnie szukać.","Harmonogram roku akademickiego na PW (w tym MiNI) ustala Rektor zarządzeniem – warto sprawdzić aktualną wersję na stronie pw.edu.pl lub mini.pw.edu.pl.

Standardowo dni wolne od zajęć obejmują:
- **Przerwa świąteczna (Boże Narodzenie)** – ok. 23 grudnia – 1 stycznia
- **Przerwa międzysemestralna** – luty (zwykle 1–2 tygodnie po sesji zimowej)
- **Przerwa wielkanocna** – kilka dni wokół Wielkanocy
- **Majówka** – 1–3 maja oraz często dodatkowe dni rektorskie
- **Juwenalia** – zazwyczaj jeden dzień w maju (godziny rektorskie/dziekańskie)
- **","Harmonogram roku akademickiego,",
o której prodziekan do spraw nauczania ma godziny przyjęć interesantów,https://ww2.mini.pw.edu.pl/studia/dziekanat/kontakt-i-dyzury/,"Godziny przyjęć Prodziekana ds. Nauczania mogą zmieniać się w semestrze, więc najlepiej sprawdzić aktualny termin na stronie MiNI PW w zakładce dotyczącej władz wydziału lub dziekanatu.  

Zwykle przed wizytą warto:
1. sprawdzić aktualne godziny na stronie,
2. ewentualnie umówić się mailowo przez dziekanat,
3. przygotować numer albumu i krótki opis sprawy.","Niestety nie dysponuję aktualnymi godzinami przyjęć prodziekana ds. nauczania na Wydziale MiNI PW — terminy te zmieniają się co semestr i są ogłaszane na stronie wydziału.

Aktualne godziny dyżurów znajdziesz:
- na stronie **www.mini.pw.edu.pl** w zakładce „Władze wydziału"" lub „Dziekanat"",
- w sekretariacie dziekanatu (tel. dziekanatu MiNI),
- na drzwiach gabinetu prodziekana (Gmach MiNI, ul. Koszykowa 75).

Zwykle wymagana jest wcześniejsza rejestracja przez system USOS lub mailowa.",wtorki 12-14,
kiedy w tym roku akademickim występuje wymiana jednego dnia tygodnia na inny,https://www.pw.edu.pl/studia/harmonogram-roku-akademickiego,,"Na Politechnice Warszawskiej tzw. „dni rektorskie z wymianą"" (czyli zajęcia odbywają się według innego dnia tygodnia) są ogłaszane w organizacji roku akademickiego przez Rektora. Najczęściej wymiany pojawiają się, gdy:

- jakiś dzień tygodnia (np. poniedziałek) traci nieproporcjonalnie dużo zajęć z powodu świąt – wtedy w innym dniu realizuje się plan poniedziałkowy,
- przed przerwami świątecznymi (Boże Narodzenie, Wielkanoc, majówka).

Aby uzyskać dokładne daty na rok akademicki 2024/2025, zajrzyj do **Zarządzenia Rektora PW w sprawie organizacji roku akademickiego** (dostępne w BIP PW i na st",Dokładne daty wymiany dni tygodnia (np,
kiedy mogę przyjść do dziekanatu i zadać pytanie lub dostać dokument od ręki np zaświadczenie o byciu studentem,https://ww2.mini.pw.edu.pl/studia/dziekanat/kontakt-i-dyzury/,"Do dziekanatu MiNI możesz przyjść w godzinach obsługi studentów — aktualne godziny najlepiej sprawdzić na stronie Wydziału MiNI w zakładce „Dziekanat” albo w komunikatach USOS/na stronie wydziału, bo mogą się zmieniać w semestrze i w przerwach.  

Zaświadczenie o statusie studenta często można otrzymać od ręki, jeśli dziekanat jest czynny i nie ma dużej kolejki; warto mieć przy sobie legitymację/dokument tożsamości. Najbezpieczniej wcześniej napisać maila lub zadzwonić i poprosić o przygotowanie dokumentu, wtedy odbiór będzie szybszy.","Dziekanat MiNI PW znajduje się w Gmachu Wydziału (ul. Koszykowa 75) i ma standardowo godziny przyjęć studentów (zwykle pon., wt., czw., pt. w godzinach przedpołudniowych, środa często nieczynna dla interesantów). Dokładne godziny i podział na poszczególnych studentów (kierunki, lata) znajdziesz na stronie wydziału: **mini.pw.edu.pl** w zakładce „Dziekanat”.

Zaświadczenie o byciu studentem najszybciej dostaniesz:
1. **Przez USOSweb** – w zakładce „Moduły dodatkowe → Wnioski” możesz złożyć wniosek elektroniczny i pobrać dokument z podpisem kwalifikowanym (często od ręki).
2. **Osobiście w dziek",Dziekanat Wydziału MiNI przyjmuje,
w jakich godzinach jest otwarty dziekanat,https://ww2.mini.pw.edu.pl/studia/dziekanat/kontakt-i-dyzury/,"Godziny otwarcia dziekanatu MiNI mogą się zmieniać w zależności od okresu semestru i rodzaju spraw. Najpewniej sprawdzisz je na stronie wydziału MiNI PW w zakładce **Dziekanat / Kontakt** albo w komunikatach dla studentów.  

Jeśli sprawa jest pilna, najlepiej napisać maila lub zadzwonić do właściwej sekcji dziekanatu przed przyjściem.","Dziekanat Wydziału MiNI PW zazwyczaj przyjmuje studentów od poniedziałku do piątku w godzinach porannych i popołudniowych, z wyłączeniem środy (dzień wewnętrzny, bez obsługi). Dokładne godziny zależą od konkretnego pokoju (studia stacjonarne, niestacjonarne, doktoranckie) i bywają aktualizowane co semestr.

Aktualne godziny przyjęć najlepiej sprawdzić na stronie wydziału: **mini.pw.edu.pl** w zakładce „Dziekanat"" lub bezpośrednio na drzwiach dziekanatu (Gmach MiNI, ul. Koszykowa 75).",Dziekanat Wydziału,
jak wygląda plan sesji,https://ww2.mini.pw.edu.pl/studia/plany-zajec-i-procedury/plan-sesji/,"Plan sesji to harmonogram egzaminów i zaliczeń końcowych: zawiera daty, godziny, sale oraz nazwiska prowadzących/koordynatorów przedmiotów.  

Na MiNI PW najczęściej sprawdzisz go:
1. w USOSweb przy konkretnych przedmiotach,
2. na stronie wydziału MiNI w aktualnościach lub zakładce dla studentów,
3. w komunikatach od prowadzących na MS Teams/Moodle/mailowo.

Zwykle osobno podawane są terminy sesji podstawowej i poprawkowej. Jeśli plan nie jest jeszcze opublikowany, najlepiej śledzić komunikaty dziekanatu i prowadzących.","Sesja egzaminacyjna na MiNI PW składa się z dwóch części:

1. **Sesja podstawowa** – zwykle trwa około 2 tygodni bezpośrednio po zakończeniu zajęć dydaktycznych w semestrze (luty w semestrze zimowym, czerwiec/lipiec w letnim).
2. **Sesja poprawkowa** – ok. 1–2 tygodni, w semestrze zimowym zazwyczaj na przełomie lutego, a w letnim we wrześniu (przed rozpoczęciem nowego roku akademickiego).

Dokładne daty są określane co roku w **organizacji roku akademickiego** publikowanej przez Rektora PW oraz na stronie wydziału (mini.pw.edu.pl). Konkretne terminy egzaminów z poszczególnych przedmiotów ustalają w",(często pod koniec przerwy międzysem,
kiedy wypadają w semestrze dni wolne od zajęć,https://www.pw.edu.pl/studia/harmonogram-roku-akademickiego,"Dni wolne od zajęć w semestrze wynikają z **harmonogramu roku akademickiego PW** — obejmują m.in. święta ustawowe, przerwy świąteczne oraz ewentualne **dni/godziny rektorskie lub dziekańskie**. Konkretne daty zależą od danego roku akademickiego i semestru, więc najlepiej sprawdzić aktualny harmonogram na stronie PW lub Wydziału MiNI. W USOS lub na stronie planu zajęć mogą też pojawiać się informacje o odwołanych zajęciach danego dnia.","Na Politechnice Warszawskiej dni wolne od zajęć w trakcie semestru obejmują zazwyczaj:

**Semestr zimowy:**
- 1 listopada (Wszystkich Świętych)
- 11 listopada (Święto Niepodległości)
- przerwa świąteczna (ok. 23 grudnia – 1 stycznia)
- 6 stycznia (Trzech Króli)

**Semestr letni:**
- przerwa wielkanocna (Wielki Czwartek/Piątek – Wtorek po Wielkanocy)
- 1 maja (Święto Pracy)
- 3 maja (Święto Konstytucji)
- Boże Ciało (czwartek, ruchome święto)
- Juwenalia (zwykle kilka dni w maju, ogłaszane przez Rektora)

Dokładne terminy oraz d",Dokładne daty dni wolnych od zajęć,
jaki jest plan sesji dla informatyki i systemów informacyjnych,https://ww2.mini.pw.edu.pl/studia/plany-zajec-i-procedury/plan-sesji/,"Nie mam dostępu do aktualnego, szczegółowego planu sesji dla kierunku **Informatyka i Systemy Informacyjne**. Najpewniejsze źródła to: **USOSweb**, strona Wydziału MiNI w zakładce dotyczącej **sesji/egzaminów**, ewentualnie komunikaty dziekanatu lub prowadzących przedmioty.

Kluczowe kroki:
1. Sprawdź terminarz egzaminów w **USOSweb** przy swoich przedmiotach.  
2. Wejdź na stronę **MiNI PW → Studenci → Plany / Sesja / Egzaminy**.  
3. W razie rozbieżności napisz do prowadzącego albo dziekanatu, bo terminy mogą się zmieniać.","Niestety nie mam dostępu do aktualnego harmonogramu sesji egzaminacyjnej dla kierunku Informatyka i Systemy Informacyjne na MiNI PW – takie plany są publikowane co semestr i mogą się zmieniać.

Aktualny plan sesji znajdziesz w następujących miejscach:
1. **Strona wydziału MiNI**: mini.pw.edu.pl – w zakładce dla studentów / aktualności
2. **System USOS** – indywidualne terminy egzaminów po zarejestrowaniu się na przedmiot
3. **Dziekanat MiNI** – informacje organizacyjne dotyczące sesji
4. **Starosta roku** lub grupa rocznikowa na Facebooku/Discordzie – studenci często pierwsi udostępniają plany

Sesja zimowa zwykle trwa",Dokładny plan sesji egzamin,
jak wyglada plan sesji,https://ww2.mini.pw.edu.pl/studia/plany-zajec-i-procedury/plan-sesji/,"Plan sesji zwykle obejmuje terminy egzaminów i zaliczeń końcowych, najpierw w sesji podstawowej, a potem w poprawkowej. Na MiNI konkretne daty sprawdzisz najczęściej w USOSweb przy przedmiotach/grupach, na stronach kursów oraz w komunikatach prowadzących; ogólne ramy sesji są w harmonogramie roku akademickiego PW.  

Najlepiej sprawdzić kolejno:  
1. harmonogram roku akademickiego PW,  
2. USOSweb → zajęcia/przedmioty → terminy egzaminów,  
3. ogłoszenia prowadzących lub Moodle/Teams,  
4. stronę Wydziału MiNI, jeśli publikowany jest zbiorczy terminarz.","Plan sesji na MiNI PW zazwyczaj wygląda następująco:

1. **Sesja zimowa** – koniec stycznia / początek lutego (ok. 2 tygodnie), po niej **sesja poprawkowa** w połowie lutego.
2. **Sesja letnia** – koniec czerwca / początek lipca, a **poprawkowa** zwykle na początku września.

Szczegółowy harmonogram egzaminów (terminy, sale) publikowany jest na stronie wydziału MiNI oraz w systemie USOS – ustalają go prowadzący przedmioty w porozumieniu ze starostami grup. Dokładne daty sesji znajdziesz w **organizacji roku akademickiego** na stronie PW.",Plan sesji egzaminacyjnej na,
które dni w bieżącym roku akademickim są wolne od zajęć,https://www.pw.edu.pl/studia/harmonogram-roku-akademickiego,,"Nie mam dostępu do aktualnego harmonogramu roku akademickiego na Wydziale MiNI PW, więc nie podam Ci dokładnej listy dni wolnych. Najpewniejsze źródła to:

1. **Zarządzenie Rektora PW** o organizacji roku akademickiego – publikowane co roku na stronie [www.pw.edu.pl](https://www.pw.edu.pl) (zakładka ""Studenci"" → ""Organizacja roku akademickiego"").
2. **Strona Wydziału MiNI** ([mini.pw.edu.pl](https://www.mini.pw.edu.pl)) – sekcja dla studentów.
3. **Dziekanat MiNI** – w razie wątpliwości.

Standardowo w PW wolne są: przerwa świąteczna (Boże Narodzenie), przerwa międzysemestralna",Dokładny wykaz dni wolnych zależy od harmon,
jakie dni są wolne podczas roku akademickiego,https://www.pw.edu.pl/studia/harmonogram-roku-akademickiego,"Dni wolne w roku akademickim na PW wynikają z **kalendarza roku akademickiego** ogłaszanego przez Rektora. Zwykle wolne są: święta państwowe i kościelne, m.in. **1 XI, 11 XI, Boże Narodzenie/Nowy Rok, 6 I, Wielkanoc, 1 V, 3 V, Boże Ciało**, a także przerwy: **świąteczna, międzysemestralna i wielkanocna**.  

Mogą też pojawić się dodatkowe **dni rektorskie** lub **godziny dziekańskie** ogłaszane osobno. Najpewniej sprawdzisz to w aktualnym kalendar","Podczas roku akademickiego na PW (w tym MiNI) wolne od zajęć są zazwyczaj:

1. **Święta państwowe i kościelne** – m.in. 1 i 11 listopada, 6 stycznia, Wielki Piątek, Poniedziałek Wielkanocny, 1 i 3 maja, Boże Ciało.
2. **Przerwa świąteczna (zimowa)** – od ok. 23 grudnia do 1–2 stycznia.
3. **Przerwa wielkanocna** – kilka dni wokół Wielkanocy.
4. **Przerwa międzysemestralna** – ok. 2 tygodni w lutym, między sesją zimową a semestrem letnim.
5. **Juwenalia** – zwykle kilka dni wolnych w maju (rektorskie/dziekańskie).
6. **Dni rekt",Dni wolne w trakcie roku akadem,
kiedy są egzaminy w sesji,https://ww2.mini.pw.edu.pl/studia/plany-zajec-i-procedury/plan-sesji/,"Terminy egzaminów w sesji wynikają z **harmonogramu roku akademickiego PW** oraz z ustaleń prowadzących przedmioty. Konkretne daty znajdziesz zwykle w **USOSweb** przy przedmiocie/grupie, na stronie kursu lub w ogłoszeniach prowadzącego.

Ogólnie:  
1. sprawdź **kalendarz akademicki PW** dla danego roku,  
2. wejdź do **USOSweb → plan zajęć / przedmioty**,  
3. sprawdź komunikaty prowadzącego albo strony MiNI.  

Jeśli nie ma terminu, najlepiej napisać bezpośrednio do prowadzącego lub sekretariatu dydaktycznego.","Sesja egzaminacyjna na MiNI PW odbywa się zgodnie z harmonogramem roku akademickiego ustalanym przez Rektora. Standardowo:

- **Sesja zimowa** – koniec stycznia / początek lutego (po zakończeniu zajęć semestru zimowego)
- **Sesja letnia** – koniec czerwca / początek lipca
- **Sesje poprawkowe** – odpowiednio w lutym oraz we wrześniu

Dokładne terminy egzaminów z poszczególnych przedmiotów ustalają prowadzący w porozumieniu ze studentami i są publikowane w USOS oraz na stronie wydziału (mini.pw.edu.pl). Polecam sprawdzić aktualny harmonogram roku akademickiego na stronie PW.",Dokładne ramy czasowe sesji,
w jakich godzinach i dniach otwarty jesf dziekanat,https://ww2.mini.pw.edu.pl/studia/dziekanat/kontakt-i-dyzury/,"Dziekanat MiNI PW ma zwykle wyznaczone godziny obsługi studentów w dni robocze, a","Dokładne godziny pracy Dziekanatu MiNI mogą się zmieniać (szczególnie w trakcie sesji, przerw świątecznych czy wakacji), dlatego warto sprawdzić aktualne informacje na stronie wydziału: **mini.pw.edu.pl** (zakładka „Dziekanat"" lub „Studenci"").

Zazwyczaj dziekanat MiNI przyjmuje studentów:
- **poniedziałek–piątek** w godzinach porannych i popołudniowych (najczęściej ok. 10:00–14:00),
- **środa** często bywa dniem bez przyjęć interesantów (dzień wewnętrzny),
- soboty zjazdowe – w przypadku studiów niestacjonarnych.

Polecam też kontakt mailowy lub telefoniczny z odpowiednim pokojem dziekan",Dziekanat Wydziału MiNI PW jest zaz,
gdzie mogę znaleźć informację o godzinach otwarcia dziekanatu,https://ww2.mini.pw.edu.pl/studia/dziekanat/kontakt-i-dyzury/,"Informacje o godzinach otwarcia dziekanatu MiNI znajdziesz zwykle na stronie Wydziału MiNI PW, w zakładce dotyczącej dziekanatu lub obsługi studentów. Warto sprawdzić też aktualności na stronie wydziału, bo godziny mogą się zmieniać w okresie sesji, wakacji lub przerw świątecznych. Jeśli sprawa jest pilna, najlepiej napisać maila lub zadzwonić do dziekanatu.","Aktualne godziny otwarcia dziekanatu MiNI najlepiej sprawdzić na oficjalnej stronie wydziału: **mini.pw.edu.pl**, w zakładce „Dziekanat"" lub „Studenci"" → „Dziekanat"". Zwykle dziekanat przyjmuje studentów w określone dni tygodnia (np. wtorek–piątek) w godzinach porannych i popołudniowych, z przerwą obiadową, a w środy bywa zamknięty dla interesantów.

Informacje znajdziesz też na drzwiach dziekanatu (Gmach MiNI, ul. Koszykowa 75) oraz na tablicach ogłoszeń. W razie wątpliwości można napisać maila lub zadzwonić — kontakt także na stronie wydziału.",Aktualne godziny otwarcia,
